BE1,BE1_points,BE1_proj_points,BE2,BE2_points,BE2_proj_points,BE3,BE3_points,BE3_proj_points,BE4,BE4_points,BE4_proj_points,BE5,BE5_points,BE5_proj_points,D/ST,D/ST_points,D/ST_proj_points,FLEX,FLEX_points,FLEX_proj_points,K,K_points,K_proj_points,QB,QB_points,QB_proj_points,RB1,RB1_points,RB1_proj_points,RB2,RB2_points,RB2_proj_points,TE,TE_points,TE_proj_points,WR1,WR1_points,WR1_proj_points,WR2,WR2_points,WR2_proj_points,opp,points,team,wk
Mike Williams,9.8,8.49,Jameis Winston,13.22,17.01,Paul Richardson Jr.,9.1,7.0,Carlos Hyde,9.0,7.38,Terry McLaurin,14.7,8.4,Jaguars D/ST,9.0,6.86,Mark Andrews,21.2,7.89,Greg Zuerlein,9.0,9.55,Baker Mayfield,15.0,17.78,Todd Gurley II,14.2,12.47,Mark Ingram II,8.7,12.08,Zach Ertz,13.2,11.66,Michael Thomas,13.9,14.82,Allen Robinson II,6.1,10.58,Team(Yoon  Pooned),110.3,Team(Silent Banggoo),2
Miles Sanders,5.2,8.65,Will Fuller V,6.0,7.45,Marquez Valdes-Scantling,3.4,7.27,T.J. Hockenson,1.2,7.42,Mecole Hardman,14.1,7.81,Rams D/ST,9.0,4.88,Tarik Cohen,3.5,9.13,Jason Myers,3.0,6.9,Patrick Mahomes,31.62,24.76,Alvin Kamara,6.5,18.1,Phillip Lindsay,8.6,11.55,O.J. Howard,0.0,7.0,Antonio Brown,14.1,11.13,Robert Woods,5.2,11.86,Team(Silent Banggoo),81.52,Team(Yoon  Pooned),2
Mike Evans,8.1,11.67,Russell Wilson,24.2,17.88,Jamison Crowder,6.0,9.59,Jordan Howard,3.1,6.52,Rob Gronkowski,0.0,0.0,Vikings D/ST,6.0,6.0,James White,10.4,10.21,Stephen Gostkowski,6.0,8.18,Deshaun Watson,12.86,18.68,Saquon Barkley,21.0,20.32,Leonard Fournette,10.7,13.86,Greg Olsen,14.0,7.67,Calvin Ridley,20.5,10.36,Tyrell Williams,13.1,12.41,Team(I need Moore points),114.56,Team(Carroll’s  A Coward),2
Kenyan Drake,7.3,9.92,Dante Pettis,0.64,4.18,Justin Jackson,6.9,8.29,Anthony Miller,0.7,4.45,Adrian Peterson,10.2,10.07,Patriots D/ST,35.0,6.35,DJ Moore,13.4,10.84,Wil Lutz,12.0,7.87,Drew Brees,-0.48,17.02,Kerryon Johnson,15.8,12.93,Devonta Freeman,7.9,14.15,Vance McDonald,19.3,7.49,DeAndre Hopkins,6.5,13.13,Chris Godwin,22.1,11.9,Team(Carroll’s  A Coward),131.52,Team(I need Moore points),2
Hunter Henry,0.0,0.0,A.J. Green,0.0,0.0,Peyton Barber,15.4,6.75,Frank Gore,15.3,7.06,DeSean Jackson,0.0,9.91,Bears D/ST,4.0,6.05,Sony Michel,12.3,11.83,Justin Tucker,13.0,9.55,Ben Roethlisberger,3.0,18.85,James Conner,12.0,15.43,Nick Chubb,17.8,17.11,Jimmy Graham,0.0,6.8,Brandin Cooks,15.1,12.03,Tyler Boyd,17.2,10.37,Team(Post Mahomes),94.4,Team(OJ is my  GM),2
Sterling Shepard,0.0,0.0,Robby Anderson,10.1,9.14,LeSean McCoy,3.8,10.79,Jared Goff,19.12,17.05,Tony Pollard,3.0,4.04,Titans D/ST,9.0,6.44,Matt Breida,13.7,11.72,Ka'imi Fairbairn,7.0,9.26,Philip Rivers,10.92,16.84,Josh Jacobs,9.9,15.43,Austin Ekeler,20.3,14.81,Travis Kelce,20.2,17.01,Julio Jones,25.1,15.94,Alshon Jeffery,0.0,10.94,Team(OJ is my  GM),116.12,Team(Post Mahomes),2
Tyreek Hill,0.0,0.0,Aaron Rodgers,14.36,17.15,David Njoku,0.0,7.85,Royce Freeman,12.7,8.65,Justice Hill,1.9,3.05,Cowboys D/ST,3.0,6.74,Curtis Samuel,11.8,8.67,Jake Elliott,7.0,8.4,Tom Brady,24.66,20.0,David Johnson,7.9,15.71,Derrick Henry,16.4,14.78,Darren Waller,9.3,9.37,Amari Cooper,12.4,11.7,Sammy Watkins,7.9,13.31,Team(DK's Left Calf),100.36,Team(Juicy Smooyay),2
Melvin Gordon,0.0,0.0,Derrius Guice,0.0,0.0,Christian Kirk,14.4,9.04,DK Metcalf,13.6,8.14,Chris Thompson,7.6,9.42,Browns D/ST,12.0,6.44,Ronald Jones II,0.9,9.73,Matt Bryant,7.0,9.31,Dak Prescott,27.66,19.46,Dalvin Cook,26.6,14.14,Aaron Jones,23.0,13.06,Evan Engram,7.8,10.22,Odell Beckham Jr.,25.1,14.27,Josh Gordon,2.9,9.97,Team(Juicy Smooyay),132.96,Team(DK's Left Calf),2
Dede Westbrook,0.8,8.72,Latavius Murray,2.8,7.25,Rashaad Penny,13.0,6.29,Michael Gallup,9.8,8.72,Marquise Brown,12.6,7.45,Bills D/ST,5.0,5.98,Cooper Kupp,15.1,10.83,Brett Maher,7.0,7.86,Kyler Murray,16.36,15.32,Le'Veon Bell,15.9,16.72,Chris Carson,8.2,13.97,Jared Cook,3.5,8.63,Keenan Allen,13.8,15.14,Kenny Golladay,21.7,10.27,Team(253 💁🏻‍♂️),106.56,Team(2 Girls 1 Kupp),2
Tyler Lockett,12.9,10.09,Tevin Coleman,0.0,0.0,Marvin Jones Jr.,6.8,9.1,Lamar Jackson,30.88,19.89,Malcolm Brown,5.2,6.99,Ravens D/ST,4.0,8.54,John Brown,10.7,8.49,Harrison Butker,4.0,9.08,Carson Wentz,17.54,20.08,Ezekiel Elliott,19.0,19.66,Damien Williams,7.1,12.21,Delanie Walker,5.9,7.45,JuJu Smith-Schuster,10.9,13.38,Adam Thielen,10.0,12.54,Team(2 Girls 1 Kupp),89.14,Team(253 💁🏻‍♂️),2
