BE1,BE1_points,BE1_proj_points,BE2,BE2_points,BE2_proj_points,BE3,BE3_points,BE3_proj_points,BE4,BE4_points,BE4_proj_points,BE5,BE5_points,BE5_proj_points,D/ST,D/ST_points,D/ST_proj_points,FLEX,FLEX_points,FLEX_proj_points,K,K_points,K_proj_points,QB,QB_points,QB_proj_points,RB1,RB1_points,RB1_proj_points,RB2,RB2_points,RB2_proj_points,TE,TE_points,TE_proj_points,WR1,WR1_points,WR1_proj_points,WR2,WR2_points,WR2_proj_points,opp,points,team,wk
DJ Moore,9.1,10.68,Dante Pettis,1.2,8.5,Jaylen Samuels,1.1,5.31,Justin Jackson,6.6,8.17,Anthony Miller,0.0,5.02,Patriots D/ST,7.0,5.06,Kenyan Drake,3.7,11.22,Wil Lutz,14.0,9.57,Drew Brees,20.8,18.53,Kerryon Johnson,7.2,13.19,Devonta Freeman,2.6,12.75,Vance McDonald,5.0,7.72,DeAndre Hopkins,27.1,16.25,Chris Godwin,12.8,10.46,Team(Silent Banggoo),100.2,Team(I need Moore points),1
Corey Davis,0.0,8.35,Jalen Richard,0.3,6.94,Mark Andrews,20.8,7.07,Jameis Winston,7.06,18.8,Paul Richardson Jr.,5.6,7.17,Jaguars D/ST,-8.0,4.56,Allen Robinson II,13.7,10.73,Greg Zuerlein,14.0,8.85,Baker Mayfield,9.4,16.58,Todd Gurley II,10.6,15.63,Mark Ingram II,22.7,13.26,Zach Ertz,7.9,10.67,Michael Thomas,17.3,14.98,Mike Williams,3.9,10.76,Team(I need Moore points),91.5,Team(Silent Banggoo),1
Matt Breida,3.7,9.9,Robby Anderson,3.8,9.73,LeSean McCoy,9.8,4.5,Philip Rivers,23.92,16.68,Tony Pollard,2.4,4.27,Broncos D/ST,-1.0,6.39,Sterling Shepard,7.2,11.36,Ka'imi Fairbairn,4.0,8.7,Jared Goff,9.44,17.24,Josh Jacobs,23.8,14.36,Austin Ekeler,36.4,14.24,Travis Kelce,10.3,13.66,Julio Jones,12.1,13.91,Alshon Jeffery,19.6,10.24,Team(Yoon  Pooned),121.84,Team(Post Mahomes),1
Antonio Brown,0.0,0.0,Miles Sanders,3.2,9.39,Marquez Valdes-Scantling,7.2,7.24,Rams D/ST,9.0,5.36,Giovani Bernard,7.3,7.1,Eagles D/ST,0.0,7.11,Tarik Cohen,8.9,9.39,Jason Myers,3.0,7.86,Patrick Mahomes,27.32,19.91,Alvin Kamara,20.4,18.62,Phillip Lindsay,8.6,10.8,O.J. Howard,3.2,8.58,Robert Woods,12.6,11.07,Will Fuller V,7.9,7.79,Team(Post Mahomes),91.92,Team(Yoon  Pooned),1
A.J. Green,0.0,0.0,Peyton Barber,5.5,8.42,Darrell Henderson Jr.,0.0,5.25,Frank Gore,2.0,5.88,Keke Coutee,0.0,5.97,Bears D/ST,10.0,7.45,Sony Michel,1.4,11.47,Justin Tucker,11.0,9.19,Ben Roethlisberger,9.74,17.37,James Conner,8.5,13.55,Nick Chubb,10.0,16.37,Hunter Henry,8.0,8.35,Brandin Cooks,4.9,12.06,Tyler Boyd,10.3,11.46,Team(Carroll’s  A Coward),73.84,Team(OJ is my  GM),1
Russell Wilson,16.6,18.19,Jamison Crowder,17.3,8.03,Jordan Howard,6.5,8.49,Tyrell Williams,19.5,10.38,Rob Gronkowski,0.0,0.0,Vikings D/ST,15.0,4.71,James White,10.7,11.4,Stephen Gostkowski,16.0,8.34,Deshaun Watson,30.72,21.47,Saquon Barkley,15.9,20.16,Leonard Fournette,9.4,15.71,Greg Olsen,5.6,6.91,Mike Evans,3.8,13.44,Calvin Ridley,14.4,9.4,Team(OJ is my  GM),121.52,Team(Carroll’s  A Coward),1
Tevin Coleman,6.6,10.51,Marvin Jones Jr.,8.0,10.19,Lamar Jackson,33.56,18.85,Dion Lewis,2.8,6.55,John Brown,21.8,7.27,Ravens D/ST,14.0,5.33,Tyler Lockett,10.9,10.74,Harrison Butker,17.0,8.55,Carson Wentz,25.02,19.25,Ezekiel Elliott,12.8,19.26,Damien Williams,15.5,10.8,Delanie Walker,20.0,7.54,JuJu Smith-Schuster,10.8,14.57,Adam Thielen,11.8,12.49,Team(Juicy Smooyay),137.82,Team(253 💁🏻‍♂️),1
Sammy Watkins,42.3,8.89,Royce Freeman,6.6,8.94,Tom Brady,25.64,18.22,Justice Hill,2.7,3.06,Darren Waller,10.5,7.1,Saints D/ST,4.0,6.79,Curtis Samuel,4.7,8.53,Jake Elliott,6.0,8.15,Aaron Rodgers,12.92,15.94,David Johnson,22.7,17.5,Derrick Henry,28.4,13.21,David Njoku,11.7,7.22,Tyreek Hill,3.1,14.7,Amari Cooper,19.6,12.6,Team(253 💁🏻‍♂️),113.12,Team(Juicy Smooyay),1
Stefon Diggs,4.7,11.61,Devin Singletary,12.3,9.11,Larry Fitzgerald,21.3,8.8,Geronimo Allison,0.0,5.95,Michael Badgley,0.0,0.0,Chargers D/ST,1.0,7.82,Duke Johnson,11.0,10.51,Aldrick Rosas,5.0,8.3,Matt Ryan,18.56,17.56,Joe Mixon,2.7,14.56,David Montgomery,5.0,10.27,Austin Hooper,12.2,7.37,Davante Adams,5.6,13.7,Emmanuel Sanders,17.1,9.72,Team(DK's Left Calf),78.16,Team(99 Problems But AB Ain’t One),1
Melvin Gordon,0.0,0.0,Christian Kirk,8.4,8.49,Donte Moncrief,2.2,8.05,DK Metcalf,10.9,7.27,Ronald Jones II,9.8,5.52,Browns D/ST,1.0,7.1,Derrius Guice,5.3,11.49,Matt Bryant,0.0,8.14,Dak Prescott,33.4,21.22,Dalvin Cook,25.0,14.88,Aaron Jones,4.4,11.29,Evan Engram,23.1,9.68,Odell Beckham Jr.,10.6,13.58,Josh Gordon,14.8,10.78,Team(99 Problems But AB Ain’t One),117.6,Team(DK's Left Calf),1
James Washington,6.1,7.41,Nyheim Hines,3.7,6.16,Courtland Sutton,15.5,8.66,Jack Doyle,2.5,6.31,Mitchell Trubisky,8.22,18.36,Steelers D/ST,-5.0,4.87,Jarvis Landry,9.7,9.31,Robbie Gould,11.0,7.99,Cam Newton,5.36,18.49,Christian McCaffrey,37.9,17.96,Marlon Mack,25.4,10.14,George Kittle,9.4,12.32,Julian Edelman,13.38,13.38,T.Y. Hilton,24.7,10.58,Team(2 Girls 1 Kupp),131.84,Team(Poop AUTO),1
Dede Westbrook,11.7,10.21,Latavius Murray,11.7,7.7,Rashaad Penny,1.8,8.47,Michael Gallup,19.3,8.51,Sam Darnold,13.0,14.11,Bills D/ST,11.0,6.66,Cooper Kupp,8.1,10.42,Brett Maher,5.0,8.65,Kyler Murray,21.62,17.88,Le'Veon Bell,20.2,14.2,Chris Carson,21.0,14.71,Jared Cook,4.7,8.9,Keenan Allen,22.3,13.01,Kenny Golladay,12.2,11.55,Team(Poop AUTO),126.12,Team(2 Girls 1 Kupp),1
