BE1,BE1_points,BE1_proj_points,BE2,BE2_points,BE2_proj_points,BE3,BE3_points,BE3_proj_points,BE4,BE4_points,BE4_proj_points,BE5,BE5_points,BE5_proj_points,D/ST,D/ST_points,D/ST_proj_points,FLEX,FLEX_points,FLEX_proj_points,K,K_points,K_proj_points,QB,QB_points,QB_proj_points,RB1,RB1_points,RB1_proj_points,RB2,RB2_points,RB2_proj_points,TE,TE_points,TE_proj_points,WR1,WR1_points,WR1_proj_points,WR2,WR2_points,WR2_proj_points,opp,points,team,wk
Matt Breida,26.4,8.51,Jared Goff,17.9,17.2,Demarcus Robinson,4.6,8.87,Nyheim Hines,6.5,6.13,Jaylen Samuels,0.96,7.06,Eagles D/ST,35.0,10.39,DeAndre Hopkins,12.3,13.74,Mason Crosby,10.0,7.62,Philip Rivers,4.14,16.82,Austin Ekeler,14.8,12.59,LeSean McCoy,1.3,10.2,Travis Kelce,9.0,14.68,Julio Jones,5.7,15.59,Alshon Jeffery,8.2,9.86,Team(Silent Banggoo),100.44,Team(Post Mahomes),5
Mike Williams,10.4,9.32,Paul Richardson Jr.,2.4,7.1,Terry McLaurin,6.6,9.04,Rex Burkhead,0.0,0.0,Matthew Stafford,0.0,0.0,Jaguars D/ST,1.0,4.75,Mark Andrews,7.0,12.07,Greg Zuerlein,11.0,9.47,Jameis Winston,17.46,19.03,Todd Gurley II,17.2,15.27,Mark Ingram II,11.9,13.11,Zach Ertz,14.2,10.5,Michael Thomas,35.7,13.75,Allen Robinson II,25.2,10.9,Team(Post Mahomes),140.66,Team(Silent Banggoo),5
A.J. Green,0.0,0.0,Peyton Barber,9.6,7.84,Frank Gore,7.9,9.93,Jason Witten,4.4,6.28,Wayne Gallman,1.4,13.05,Bears D/ST,3.0,7.43,Sony Michel,19.8,13.28,Justin Tucker,16.0,7.78,Josh Allen,17.46,16.87,James Conner,11.5,13.74,Nick Chubb,10.4,18.05,Jimmy Graham,5.6,8.08,Brandin Cooks,6.1,11.4,Tyler Boyd,23.3,11.82,Team(I need Moore points),113.16,Team(OJ is my  GM),5
Kerryon Johnson,0.0,0.0,Kenyan Drake,0.0,0.0,Drew Brees,0.0,0.0,Jared Cook,12.1,6.26,DeSean Jackson,0.0,0.0,Patriots D/ST,15.0,10.2,DJ Moore,12.1,9.9,Wil Lutz,7.0,8.45,Marcus Mariota,8.62,14.72,Devonta Freeman,15.5,11.66,Josh Jacobs,27.8,11.17,Vance McDonald,4.9,6.29,Chris Godwin,28.0,13.0,Sterling Shepard,7.2,10.59,Team(OJ is my  GM),126.12,Team(I need Moore points),5
Saquon Barkley,0.0,0.0,Russell Wilson,29.92,19.49,Jamison Crowder,2.0,8.77,Jordan Howard,12.2,11.08,Phillip Dorsett II,0.0,9.28,Vikings D/ST,13.0,5.71,Tyrell Williams,0.0,0.0,Robbie Gould,5.0,8.52,Deshaun Watson,41.74,20.24,Leonard Fournette,21.7,14.41,James White,10.2,12.08,Greg Olsen,0.0,8.54,Mike Evans,0.0,13.62,Calvin Ridley,17.3,10.01,Team(Yoon  Pooned),108.94,Team(Carroll’s  A Coward),5
Tarik Cohen,7.9,9.3,Will Fuller V,46.7,8.62,T.J. Hockenson,0.0,0.0,Mecole Hardman,9.3,8.86,DJ Chark Jr.,32.4,9.4,Rams D/ST,-1.0,5.57,Miles Sanders,8.4,10.04,Joey Slye,2.0,7.65,Patrick Mahomes,18.54,23.75,Alvin Kamara,13.92,19.02,Phillip Lindsay,22.7,12.14,O.J. Howard,1.5,5.34,Robert Woods,7.3,11.73,Marquez Valdes-Scantling,2.3,11.03,Team(Carroll’s  A Coward),75.66,Team(Yoon  Pooned),5
Davante Adams,0.0,0.0,Stefon Diggs,5.9,9.17,Duke Johnson,7.2,7.53,Devin Singletary,0.0,0.0,,,,Chargers D/ST,12.0,6.76,Carlos Hyde,12.0,10.43,Zane Gonzalez,13.0,7.81,Matt Ryan,31.9,19.11,Joe Mixon,11.4,13.22,David Montgomery,10.1,12.98,Austin Hooper,10.6,9.43,Emmanuel Sanders,1.4,10.22,Larry Fitzgerald,8.8,12.09,Team(Juicy Smooyay),111.2,Team(99 Problems But AB Ain’t One),5
Tyreek Hill,0.0,0.0,Aaron Rodgers,9.42,18.59,Royce Freeman,7.7,10.54,Justice Hill,0.7,2.86,,,,49ers D/ST,19.0,5.97,Curtis Samuel,5.9,9.27,Jake Elliott,7.0,7.96,Tom Brady,23.92,18.16,David Johnson,17.1,16.91,Derrick Henry,13.8,15.11,Darren Waller,5.9,11.39,Amari Cooper,34.1,12.02,Sammy Watkins,0.0,12.7,Team(99 Problems But AB Ain’t One),126.72,Team(Juicy Smooyay),5
Jarvis Landry,9.5,11.17,Daniel Jones,10.48,15.63,Gerald Everett,17.1,5.4,Raheem Mostert,3.4,6.25,Auden Tate,10.1,8.51,Panthers D/ST,8.0,6.86,Courtland Sutton,17.2,9.57,Matt Gay,7.0,8.78,Jacoby Brissett,10.94,19.48,Christian McCaffrey,44.7,21.04,Marlon Mack,16.3,12.77,George Kittle,17.8,11.15,Julian Edelman,21.0,12.07,T.Y. Hilton,5.7,13.68,Team(253 💁🏻‍♂️),148.64,Team(Poop AUTO),5
Tevin Coleman,15.7,9.41,Carson Wentz,12.06,17.53,John Brown,10.0,9.46,Marvin Jones Jr.,0.0,0.0,Darrel Williams,0.0,2.93,Titans D/ST,7.0,7.85,Adam Thielen,28.5,11.35,Harrison Butker,7.0,9.56,Lamar Jackson,11.44,21.02,Ezekiel Elliott,16.1,19.09,Damien Williams,5.3,11.71,Delanie Walker,1.5,8.4,JuJu Smith-Schuster,15.0,10.17,Tyler Lockett,12.3,12.73,Team(Poop AUTO),104.14,Team(253 💁🏻‍♂️),5
