BE1,BE1_points,BE1_proj_points,BE2,BE2_points,BE2_proj_points,BE3,BE3_points,BE3_proj_points,BE4,BE4_points,BE4_proj_points,BE5,BE5_points,BE5_proj_points,D/ST,D/ST_points,D/ST_proj_points,FLEX,FLEX_points,FLEX_proj_points,K,K_points,K_proj_points,QB,QB_points,QB_proj_points,RB1,RB1_points,RB1_proj_points,RB2,RB2_points,RB2_proj_points,TE,TE_points,TE_proj_points,WR1,WR1_points,WR1_proj_points,WR2,WR2_points,WR2_proj_points,opp,points,team,wk
T.Y. Hilton,4.5,11.49,Dallas Goedert,8.0,7.45,Baker Mayfield,16.98,16.54,Tarik Cohen,12.0,9.25,Robby Anderson,10.6,9.42,Seahawks D/ST,4.0,7.13,Cole Beasley,1.1,8.11,Matt Prater,6.0,7.56,Ryan Tannehill,24.16,19.09,Christian McCaffrey,33.5,24.11,Marlon Mack,1.9,11.21,George Kittle,19.9,13.57,Julian Edelman,1.9,14.41,Courtland Sutton,9.9,12.15,Team(Silent Banggoo),102.36,Team(Poop AUTO),15
Terry McLaurin,21.5,10.61,Jamaal Williams,3.8,8.97,Jets D/ST,3.0,3.6,Randall Cobb,0.2,8.6,Jameis Winston,32.72,21.0,Chiefs D/ST,10.0,6.42,Zach Ertz,14.6,11.47,Greg Zuerlein,1.0,8.26,Jimmy Garoppolo,12.6,18.32,Todd Gurley II,19.3,15.17,Mark Ingram II,23.1,14.9,Mark Andrews,13.2,9.85,Michael Thomas,24.8,19.74,Allen Robinson II,16.0,12.71,Team(Poop AUTO),134.6,Team(Silent Banggoo),15
Mike Evans,0.0,0.0,Deshaun Watson,16.92,21.57,Jordan Howard,0.0,0.0,Greg Olsen,0.0,0.0,Tyrell Williams,11.5,8.48,Vikings D/ST,26.0,5.01,James White,13.7,12.73,Austin Seibert,6.0,7.95,Russell Wilson,19.34,20.17,Saquon Barkley,28.3,17.91,Leonard Fournette,9.8,19.16,Ian Thomas,3.3,7.41,A.J. Brown,21.4,11.17,Breshad Perriman,32.1,8.22,Team(Post Mahomes),159.94,Team(Carroll’s  A Coward),15
Matt Breida,0.7,6.38,Sam Darnold,15.82,12.7,Russell Gage,5.8,7.55,DeAndre Washington,3.2,5.06,Boston Scott,10.0,8.71,Ravens D/ST,7.0,10.82,Julio Jones,31.9,13.41,Younghoe Koo,6.0,6.53,Kirk Cousins,11.68,15.57,Austin Ekeler,10.6,13.42,Nick Chubb,22.3,15.67,Tyler Higbee,17.1,8.8,DeAndre Hopkins,14.9,16.28,Zach Pascal,6.4,7.8,Team(Carroll’s  A Coward),127.88,Team(Post Mahomes),15
Kenyan Drake,39.1,12.75,Sterling Shepard,15.6,10.21,Michael Badgley,5.0,8.21,Deebo Samuel,4.2,9.76,Ryan Fitzpatrick,20.46,17.38,Patriots D/ST,19.0,9.79,Josh Jacobs,11.9,17.76,Wil Lutz,10.0,10.91,Drew Brees,28.28,20.1,Devonta Freeman,6.5,11.5,Kareem Hunt,11.6,11.49,Kyle Rudolph,6.3,6.01,Chris Godwin,14.6,16.69,DJ Moore,16.3,13.49,Team(DK's Left Calf),124.48,Team(I need Moore points),15
Evan Engram,0.0,0.0,Christian Kirk,8.1,11.19,Golden Tate,11.6,8.97,Marquise Brown,12.5,7.98,Royce Freeman,4.6,6.96,Eagles D/ST,8.0,8.31,Melvin Gordon,4.9,14.66,Zane Gonzalez,8.0,8.13,Dak Prescott,17.68,18.71,Dalvin Cook,5.8,17.59,Aaron Jones,17.1,14.61,Jack Doyle,3.1,7.92,Odell Beckham Jr.,10.6,12.84,DK Metcalf,10.6,10.84,Team(I need Moore points),85.78,Team(DK's Left Calf),15
Stefon Diggs,10.0,10.1,Larry Fitzgerald,5.7,7.99,Carlos Hyde,16.4,8.72,Mike Gesicki,6.7,7.06,Gardner Minshew II,18.74,17.67,Steelers D/ST,8.0,8.84,David Montgomery,5.4,10.73,Matt Gay,8.0,8.23,Matt Ryan,19.1,15.8,Joe Mixon,17.1,12.31,Alvin Kamara,11.4,15.7,Hunter Henry,1.9,9.93,Davante Adams,19.8,13.69,Emmanuel Sanders,1.9,11.35,Team(253 💁🏻‍♂️),92.6,Team(99 Problems But AB Ain’t One),15
JuJu Smith-Schuster,0.0,0.0,Adam Thielen,4.5,13.08,Damien Williams,0.0,0.0,Carson Wentz,21.54,17.76,Marvin Jones Jr.,0.0,0.0,Buccaneers D/ST,17.0,8.52,Tyler Lockett,22.0,11.32,Harrison Butker,10.0,9.08,Lamar Jackson,37.08,24.38,Ezekiel Elliott,29.5,16.82,Tevin Coleman,4.0,9.1,Jacob Hollister,3.8,7.75,John Brown,13.4,10.18,Mike Williams,15.1,9.41,Team(99 Problems But AB Ain’t One),151.88,Team(253 💁🏻‍♂️),15
Le'Veon Bell,9.8,12.15,Josh Gordon,4.3,5.67,Darius Slayton,10.1,11.33,Derrius Guice,0.0,0.0,Daniel Jones,0.0,0.0,49ers D/ST,5.0,7.93,Curtis Samuel,13.9,9.42,Ka'imi Fairbairn,6.0,6.74,Tom Brady,12.92,17.07,David Johnson,0.6,5.87,Derrick Henry,8.6,18.47,Darren Waller,16.2,10.89,Tyreek Hill,21.3,15.05,Amari Cooper,2.4,12.89,Team(Yoon  Pooned),86.92,Team(Juicy Smooyay),15
Will Fuller V,8.6,11.11,DJ Chark Jr.,0.0,0.0,Saints D/ST,6.0,6.5,DeVante Parker,21.2,11.65,Raheem Mostert,10.4,10.13,Rams D/ST,-8.0,5.52,Miles Sanders,32.2,12.89,Robbie Gould,12.0,8.89,Patrick Mahomes,22.7,18.57,Phillip Lindsay,3.2,12.62,Devin Singletary,7.9,11.58,Austin Hooper,3.5,10.45,Robert Woods,3.7,12.28,Jarvis Landry,4.8,12.86,Team(Juicy Smooyay),82.0,Team(Yoon  Pooned),15
Sony Michel,10.8,8.28,Aaron Rodgers,14.42,17.87,Duke Johnson,3.3,8.5,Bo Scarbrough,0.0,0.0,Panthers D/ST,0.0,6.51,Bills D/ST,19.0,8.46,Keenan Allen,14.4,10.98,Josh Lambo,9.0,8.42,Kyler Murray,16.36,19.12,Chris Carson,26.2,16.35,Ronald Jones II,5.4,9.55,Jared Cook,7.4,9.78,Kenny Golladay,5.9,12.89,Cooper Kupp,13.1,9.79,Team(OJ is my  GM),116.76,Team(2 Girls 1 Kupp),15
James Conner,13.1,6.79,A.J. Green,0.0,0.0,Jimmy Graham,0.5,5.55,Adrian Peterson,16.6,10.91,Dede Westbrook,3.1,10.41,Bears D/ST,3.0,5.59,Brandin Cooks,6.6,5.6,Justin Tucker,4.0,9.6,Josh Allen,16.36,16.26,Peyton Barber,5.0,8.27,Frank Gore,1.5,4.55,Travis Kelce,19.7,12.62,Tyler Boyd,4.1,9.99,Michael Gallup,1.1,10.36,Team(2 Girls 1 Kupp),61.36,Team(OJ is my  GM),15
