BE1,BE1_points,BE1_proj_points,BE2,BE2_points,BE2_proj_points,BE3,BE3_points,BE3_proj_points,BE4,BE4_points,BE4_proj_points,BE5,BE5_points,BE5_proj_points,D/ST,D/ST_points,D/ST_proj_points,FLEX,FLEX_points,FLEX_proj_points,K,K_points,K_proj_points,QB,QB_points,QB_proj_points,RB1,RB1_points,RB1_proj_points,RB2,RB2_points,RB2_proj_points,TE,TE_points,TE_proj_points,WR1,WR1_points,WR1_proj_points,WR2,WR2_points,WR2_proj_points,opp,points,team,wk
David Johnson,0.0,0.0,Royce Freeman,1.9,11.06,DeSean Jackson,1.0,8.55,Mark Walton,5.6,10.75,Josh Gordon,0.0,0.0,49ers D/ST,2.0,8.08,Curtis Samuel,14.9,9.73,Jason Myers,6.0,8.18,Tom Brady,13.4,16.9,Derrick Henry,23.4,14.46,Le'Veon Bell,16.1,16.1,Darren Waller,6.2,12.46,Tyreek Hill,23.5,12.19,Amari Cooper,16.0,12.6,Team(Carroll’s  A Coward),121.5,Team(Juicy Smooyay),9
Deshaun Watson,19.74,21.05,James White,15.4,10.62,Calvin Ridley,0.0,0.0,DeVante Parker,13.7,8.89,Mohamed Sanu Sr.,19.1,8.46,Vikings D/ST,6.0,6.72,Jordan Howard,14.8,10.51,Robbie Gould,4.0,8.15,Russell Wilson,39.22,22.99,Saquon Barkley,12.5,17.09,Leonard Fournette,9.7,16.87,Greg Olsen,5.5,6.72,Mike Evans,30.0,14.59,Tyrell Williams,6.3,10.61,Team(Juicy Smooyay),128.02,Team(Carroll’s  A Coward),9
JuJu Smith-Schuster,3.1,9.98,Damien Williams,19.8,6.97,Carson Wentz,15.06,15.68,John Brown,9.6,9.98,T.J. Hockenson,7.1,7.5,Browns D/ST,5.0,6.43,Marvin Jones Jr.,22.6,11.61,Harrison Butker,18.0,5.35,Lamar Jackson,28.62,18.03,Ezekiel Elliott,13.9,19.97,Tevin Coleman,4.6,15.47,Chris Herndon,0.0,0.0,Adam Thielen,0.0,12.13,Tyler Lockett,33.7,13.14,Team(OJ is my  GM),126.42,Team(253 💁🏻‍♂️),9
James Conner,0.0,0.0,Brandin Cooks,0.0,0.0,Tyler Boyd,0.0,0.0,A.J. Green,0.0,0.0,Peyton Barber,1.5,7.34,Bears D/ST,3.0,5.8,Frank Gore,1.5,9.42,Justin Tucker,7.0,7.77,Josh Allen,17.6,19.01,Nick Chubb,11.1,17.13,Adrian Peterson,13.5,10.57,Jimmy Graham,3.7,6.48,Michael Gallup,10.3,10.39,Kenny Stills,7.2,9.07,Team(253 💁🏻‍♂️),74.9,Team(OJ is my  GM),9
Christian Kirk,2.6,9.41,Golden Tate,8.8,9.99,Rams D/ST,0.0,0.0,Alexander Mattison,0.6,5.23,N'Keal Harry,0.0,1.05,Seahawks D/ST,0.0,7.82,Melvin Gordon,24.4,11.27,Ka'imi Fairbairn,10.0,7.63,Dak Prescott,21.48,19.05,Dalvin Cook,13.6,20.65,Aaron Jones,3.4,15.9,Evan Engram,8.0,9.9,Odell Beckham Jr.,10.7,10.66,DK Metcalf,24.0,10.21,Team(Post Mahomes),115.58,Team(DK's Left Calf),9
Julio Jones,0.0,0.0,Jared Goff,0.0,0.0,Chase Edmonds,0.0,0.0,Chris Thompson,0.0,0.0,Alex Erickson,0.0,0.0,Cowboys D/ST,19.0,8.51,LeSean McCoy,1.4,9.22,Mason Crosby,5.0,6.75,Kirk Cousins,21.3,15.21,Austin Ekeler,11.3,11.4,Matt Breida,10.2,9.78,Travis Kelce,9.7,10.88,Alshon Jeffery,5.6,9.25,DeAndre Hopkins,15.4,15.46,Team(DK's Left Calf),98.9,Team(Post Mahomes),9
Cooper Kupp,0.0,0.0,Rashaad Penny,1.2,3.33,Kyler Murray,23.04,15.64,Jared Cook,0.0,0.0,Titans D/ST,5.0,6.67,Bills D/ST,9.0,11.78,Robby Anderson,4.3,9.74,Josh Lambo,3.0,9.05,Aaron Rodgers,12.94,19.3,Chris Carson,12.3,16.21,Sony Michel,3.5,9.86,Darren Fells,6.6,6.04,Keenan Allen,5.5,11.95,Kenny Golladay,21.2,14.62,Team(Silent Banggoo),78.34,Team(2 Girls 1 Kupp),9
Todd Gurley II,0.0,0.0,Michael Thomas,0.0,0.0,Greg Zuerlein,0.0,0.0,Jameis Winston,20.2,19.12,Terry McLaurin,5.9,8.99,Jaguars D/ST,2.0,6.5,Mark Andrews,3.1,10.98,Chris Boswell,16.0,8.7,Matthew Stafford,24.84,20.62,Mark Ingram II,13.4,10.81,Jamaal Williams,13.9,8.57,Zach Ertz,20.8,8.86,Mike Williams,12.8,9.5,Allen Robinson II,1.1,12.4,Team(2 Girls 1 Kupp),107.94,Team(Silent Banggoo),9
T.Y. Hilton,0.0,0.0,Jacoby Brissett,2.76,16.76,Gerald Everett,0.0,0.0,Latavius Murray,0.0,0.0,Duke Johnson,16.6,8.75,Eagles D/ST,9.0,6.54,Danny Amendola,4.4,8.52,Matt Prater,6.0,8.53,Derek Carr,19.56,16.65,Christian McCaffrey,36.1,22.57,Marlon Mack,8.9,12.45,George Kittle,16.9,11.89,Julian Edelman,11.9,13.89,Courtland Sutton,14.8,9.87,Team(I need Moore points),127.56,Team(Poop AUTO),9
Devonta Freeman,0.0,0.0,Drew Brees,0.0,0.0,Wil Lutz,0.0,0.0,Sterling Shepard,0.0,0.0,Kareem Hunt,0.0,0.0,Patriots D/ST,3.0,6.48,DJ Moore,13.6,10.2,Michael Badgley,15.0,8.26,Daniel Jones,11.8,15.52,Kenyan Drake,26.2,11.74,Josh Jacobs,24.0,16.55,Jason Witten,9.8,6.19,Chris Godwin,10.4,15.17,Phillip Dorsett II,2.3,9.05,Team(Poop AUTO),116.1,Team(I need Moore points),9
Joe Mixon,0.0,0.0,Matt Ryan,0.0,0.0,Larry Fitzgerald,5.8,8.04,Alvin Kamara,0.0,0.0,Ty Johnson,5.1,10.28,Steelers D/ST,19.0,6.57,Davante Adams,7.6,14.37,Zane Gonzalez,5.0,8.04,Gardner Minshew II,7.76,18.09,David Montgomery,21.1,10.58,Carlos Hyde,14.0,11.04,Hunter Henry,11.9,11.36,Stefon Diggs,2.1,10.95,Emmanuel Sanders,20.7,9.59,Team(Yoon  Pooned),109.16,Team(99 Problems But AB Ain’t One),9
Patrick Mahomes,0.0,0.0,Robert Woods,0.0,0.0,Will Fuller V,0.0,0.0,Austin Hooper,0.0,0.0,Jaylen Samuels,12.8,15.39,Panthers D/ST,7.0,7.63,Miles Sanders,8.8,7.88,Joey Slye,5.0,8.22,Philip Rivers,11.76,15.68,Phillip Lindsay,15.2,13.49,Devin Singletary,21.5,8.09,Jack Doyle,9.7,7.06,DJ Chark Jr.,5.2,12.43,Jarvis Landry,14.1,8.69,Team(99 Problems But AB Ain’t One),98.26,Team(Yoon  Pooned),9
