BE1,BE1_points,BE1_proj_points,BE2,BE2_points,BE2_proj_points,BE3,BE3_points,BE3_proj_points,BE4,BE4_points,BE4_proj_points,BE5,BE5_points,BE5_proj_points,D/ST,D/ST_points,D/ST_proj_points,FLEX,FLEX_points,FLEX_proj_points,K,K_points,K_proj_points,QB,QB_points,QB_proj_points,RB1,RB1_points,RB1_proj_points,RB2,RB2_points,RB2_proj_points,TE,TE_points,TE_proj_points,WR1,WR1_points,WR1_proj_points,WR2,WR2_points,WR2_proj_points,opp,points,team,wk
Aaron Rodgers,43.76,18.9,Sammy Watkins,0.0,0.0,Royce Freeman,14.7,10.94,Curtis Samuel,0.0,0.0,DeSean Jackson,0.0,0.0,49ers D/ST,13.0,8.65,Dede Westbrook,14.7,9.86,Jake Elliott,4.0,7.09,Tom Brady,11.96,17.52,David Johnson,0.2,16.56,Derrick Henry,17.3,15.4,Darren Waller,28.1,11.45,Tyreek Hill,14.9,14.7,Amari Cooper,13.1,13.42,Team(I need Moore points),117.26,Team(Juicy Smooyay),7
Kenyan Drake,7.3,9.2,Chris Godwin,0.0,0.0,DJ Moore,0.0,0.0,Drew Brees,0.0,0.0,Sterling Shepard,0.0,0.0,Patriots D/ST,23.0,9.46,Kerryon Johnson,2.3,13.16,Wil Lutz,8.0,5.93,Daniel Jones,10.42,17.6,Devonta Freeman,3.5,14.06,Josh Jacobs,14.9,11.72,Jason Witten,5.3,6.04,Phillip Dorsett II,12.1,9.66,Mohamed Sanu Sr.,0.8,8.05,Team(Juicy Smooyay),80.32,Team(I need Moore points),7
JuJu Smith-Schuster,0.0,0.0,Carson Wentz,6.84,18.35,John Brown,16.8,9.71,Marvin Jones Jr.,38.3,9.43,Chris Herndon,0.0,0.0,Texans D/ST,1.0,5.64,Damien Williams,1.6,7.55,Harrison Butker,12.0,8.3,Lamar Jackson,23.32,22.11,Ezekiel Elliott,23.7,18.21,Tevin Coleman,7.1,15.31,Delanie Walker,0.0,8.06,Adam Thielen,9.0,12.12,Tyler Lockett,14.3,11.73,Team(Yoon  Pooned),92.02,Team(253 💁🏻‍♂️),7
Miles Sanders,4.7,9.2,Tarik Cohen,7.4,9.14,Rams D/ST,22.0,5.27,Joey Slye,0.0,0.0,Marquez Valdes-Scantling,20.3,8.74,Saints D/ST,12.0,7.14,Will Fuller V,1.1,11.38,Brandon McManus,-1.0,8.36,Patrick Mahomes,7.24,21.07,Phillip Lindsay,3.7,14.84,Devin Singletary,2.6,8.8,Austin Hooper,12.6,12.68,Robert Woods,11.1,11.17,DJ Chark Jr.,8.8,11.89,Team(253 💁🏻‍♂️),58.14,Team(Yoon  Pooned),7
Odell Beckham Jr.,0.0,0.0,Josh Gordon,0.0,0.0,Christian Kirk,0.0,0.0,Ronald Jones II,0.0,0.0,Tyler Eifert,2.0,3.81,Chiefs D/ST,23.0,4.62,Melvin Gordon,7.9,12.66,Ka'imi Fairbairn,12.0,6.59,Dak Prescott,20.56,19.42,Dalvin Cook,27.4,18.35,Aaron Jones,16.3,16.23,Evan Engram,1.1,12.63,DK Metcalf,5.3,8.04,Golden Tate,11.0,9.48,Team(Carroll’s  A Coward),124.56,Team(DK's Left Calf),7
Mike Evans,0.0,0.0,Deshaun Watson,15.52,20.95,Jordan Howard,6.6,11.26,Greg Olsen,0.0,0.0,Tyrell Williams,0.0,0.0,Vikings D/ST,0.0,5.24,James White,9.4,11.83,Robbie Gould,8.0,8.77,Russell Wilson,14.34,21.88,Saquon Barkley,15.5,20.12,Leonard Fournette,15.5,18.56,Luke Willson,0.0,4.57,Calvin Ridley,5.0,11.12,Jamison Crowder,4.6,8.68,Team(DK's Left Calf),72.34,Team(Carroll’s  A Coward),7
Rashaad Penny,0.0,6.47,Marquise Brown,0.0,0.0,Sony Michel,21.9,10.23,Robby Anderson,1.5,6.85,Jared Cook,0.0,0.0,Bills D/ST,10.0,10.35,Keenan Allen,8.1,11.6,Josh Lambo,13.0,8.68,Kyler Murray,6.96,19.86,Le'Veon Bell,8.1,15.57,Chris Carson,8.9,16.64,Darren Fells,3.7,4.65,Kenny Golladay,2.6,12.99,Cooper Kupp,8.0,14.18,Team(OJ is my  GM),69.36,Team(2 Girls 1 Kupp),7
James Conner,0.0,0.0,Nick Chubb,0.0,0.0,A.J. Green,0.0,0.0,Peyton Barber,0.0,0.0,Redskins D/ST,9.0,4.79,Bears D/ST,1.0,9.91,Michael Gallup,4.9,10.82,Justin Tucker,12.0,7.2,Josh Allen,21.28,21.72,Frank Gore,7.1,12.19,Adrian Peterson,6.1,9.49,Jimmy Graham,14.5,6.98,Brandin Cooks,7.9,9.79,Tyler Boyd,6.0,11.45,Team(2 Girls 1 Kupp),80.78,Team(OJ is my  GM),7
Christian McCaffrey,0.0,0.0,Jarvis Landry,0.0,0.0,Gerald Everett,13.0,7.56,Auden Tate,8.0,8.99,Teddy Bridgewater,19.94,12.19,Packers D/ST,-3.0,6.48,Courtland Sutton,11.7,12.01,Matt Prater,7.0,9.14,Jacoby Brissett,27.64,17.0,Marlon Mack,7.1,13.65,Latavius Murray,29.5,9.99,George Kittle,5.3,11.7,Julian Edelman,10.2,13.05,T.Y. Hilton,16.4,12.15,Team(Post Mahomes),111.84,Team(Poop AUTO),7
LeSean McCoy,8.6,10.43,Jonathan Hilliman,0.0,0.0,Chase Edmonds,34.0,5.53,Dante Pettis,0.0,6.57,Kirk Cousins,29.22,14.43,Seahawks D/ST,1.0,6.79,DeAndre Hopkins,21.1,12.95,Mason Crosby,6.0,7.98,Jared Goff,25.02,17.54,Austin Ekeler,22.0,10.8,Matt Breida,4.1,10.35,Travis Kelce,7.4,13.36,Julio Jones,12.3,15.78,Alshon Jeffery,4.8,12.09,Team(Poop AUTO),103.72,Team(Post Mahomes),7
