BE1,BE1_points,BE1_proj_points,BE2,BE2_points,BE2_proj_points,BE3,BE3_points,BE3_proj_points,BE4,BE4_points,BE4_proj_points,BE5,BE5_points,BE5_proj_points,D/ST,D/ST_points,D/ST_proj_points,FLEX,FLEX_points,FLEX_proj_points,K,K_points,K_proj_points,QB,QB_points,QB_proj_points,RB1,RB1_points,RB1_proj_points,RB2,RB2_points,RB2_proj_points,TE,TE_points,TE_proj_points,WR1,WR1_points,WR1_proj_points,WR2,WR2_points,WR2_proj_points,opp,points,team,wk
David Johnson,0.0,0.0,Tyreek Hill,0.0,0.0,Josh Gordon,1.5,6.16,Darius Slayton,8.7,8.32,Kalen Ballage,3.1,8.27,49ers D/ST,13.0,5.91,Derrius Guice,4.3,8.45,Ka'imi Fairbairn,8.0,8.07,Tom Brady,11.3,16.79,Derrick Henry,28.0,18.23,Le'Veon Bell,13.3,14.11,Darren Waller,5.6,11.2,Amari Cooper,0.0,10.86,Curtis Samuel,5.4,10.01,Team(Silent Banggoo),88.9,Team(Juicy Smooyay),12
Zach Ertz,21.1,11.42,Matthew Stafford,0.0,0.0,Jamaal Williams,11.5,6.97,Randall Cobb,10.6,8.33,Jameis Winston,24.32,20.39,Jets D/ST,17.0,4.45,Michael Thomas,21.1,18.48,Greg Zuerlein,7.0,8.86,Jimmy Garoppolo,18.22,15.98,Todd Gurley II,3.4,14.21,Mark Ingram II,24.3,12.35,Mark Andrews,5.5,11.05,Allen Robinson II,22.1,10.92,Terry McLaurin,9.7,10.34,Team(Juicy Smooyay),128.32,Team(Silent Banggoo),12
JuJu Smith-Schuster,0.0,0.0,Adam Thielen,0.0,0.0,Damien Williams,0.0,0.0,Carson Wentz,8.94,17.61,Harrison Butker,0.0,0.0,Jaguars D/ST,-3.0,7.01,Tyler Lockett,4.3,13.52,Stephen Hauschka,8.0,6.59,Lamar Jackson,36.26,22.81,Ezekiel Elliott,14.6,15.24,Tevin Coleman,11.9,15.63,Jacob Hollister,3.2,6.43,John Brown,10.9,10.7,Marvin Jones Jr.,7.1,9.45,Team(I need Moore points),93.26,Team(253 💁🏻‍♂️),12
Devonta Freeman,0.0,0.0,Kenyan Drake,0.0,0.0,Sterling Shepard,6.2,9.21,Michael Badgley,0.0,0.0,Kyle Rudolph,0.0,0.0,Patriots D/ST,7.0,4.96,Jaylen Samuels,4.7,11.76,Wil Lutz,11.0,10.88,Drew Brees,22.44,18.91,Josh Jacobs,4.1,15.63,Kareem Hunt,11.6,10.75,Gerald Everett,3.3,7.43,Chris Godwin,33.9,13.91,DJ Moore,28.4,12.83,Team(253 💁🏻‍♂️),126.44,Team(I need Moore points),12
Dalvin Cook,0.0,0.0,Melvin Gordon,0.0,0.0,Evan Engram,0.0,0.0,Christian Kirk,0.0,0.0,Golden Tate,10.8,9.04,Falcons D/ST,2.0,5.11,DK Metcalf,5.0,10.76,Brett Maher,9.0,7.29,Dak Prescott,6.88,16.71,Aaron Jones,3.8,13.08,Royce Freeman,3.9,6.14,O.J. Howard,1.5,5.17,Odell Beckham Jr.,17.4,11.24,Marquise Brown,18.7,7.77,Team(Yoon  Pooned),68.18,Team(DK's Left Calf),12
Patrick Mahomes,0.0,0.0,Robert Woods,12.7,8.96,Miles Sanders,10.1,11.2,Will Fuller V,17.5,10.51,Austin Hooper,0.0,0.0,Saints D/ST,4.0,8.44,DeVante Parker,12.1,10.51,Joey Slye,9.0,7.98,Jeff Driskel,12.58,16.99,Phillip Lindsay,7.3,11.28,Devin Singletary,11.9,10.69,Tyler Eifert,1.2,5.69,DJ Chark Jr.,8.3,13.37,Jarvis Landry,31.8,10.59,Team(DK's Left Calf),98.18,Team(Yoon  Pooned),12
Keenan Allen,0.0,0.0,Kyler Murray,0.0,0.0,Sony Michel,8.5,10.44,Darren Fells,2.9,4.58,Duke Johnson,3.5,8.22,Bills D/ST,13.0,9.3,Bo Scarbrough,7.8,9.11,Josh Lambo,9.0,7.95,Aaron Rodgers,9.46,16.63,Chris Carson,7.7,15.29,Ronald Jones II,14.2,11.63,Jared Cook,18.9,7.98,Kenny Golladay,8.1,10.63,Cooper Kupp,6.5,10.89,Team(Carroll’s  A Coward),94.66,Team(2 Girls 1 Kupp),12
Deshaun Watson,18.92,20.41,Jordan Howard,0.0,0.0,Vikings D/ST,0.0,0.0,Tyrell Williams,2.8,9.29,Mohamed Sanu Sr.,0.0,0.0,Browns D/ST,10.0,8.04,James White,0.4,11.71,Austin Seibert,11.0,8.04,Russell Wilson,9.5,20.31,Saquon Barkley,7.0,16.44,Leonard Fournette,32.4,16.37,Greg Olsen,6.9,8.51,Mike Evans,7.0,16.15,Calvin Ridley,19.0,11.54,Team(2 Girls 1 Kupp),103.2,Team(Carroll’s  A Coward),12
George Kittle,21.9,12.57,Marlon Mack,0.0,0.0,T.Y. Hilton,3.3,12.38,Latavius Murray,12.4,9.36,Derek Carr,4.18,15.68,Seahawks D/ST,16.0,5.91,Julian Edelman,13.3,12.97,Matt Prater,10.0,6.88,Jacoby Brissett,13.16,18.61,Christian McCaffrey,29.8,20.7,Nyheim Hines,7.1,8.11,Dallas Goedert,4.7,7.0,Courtland Sutton,3.2,10.67,Jamison Crowder,2.8,10.4,Team(OJ is my  GM),100.06,Team(Poop AUTO),12
James Conner,0.0,0.0,Brandin Cooks,4.3,9.24,A.J. Green,0.0,0.0,Travis Kelce,0.0,0.0,Chris Thompson,0.0,0.0,Bears D/ST,6.0,8.68,Adrian Peterson,5.4,7.98,Justin Tucker,9.0,8.62,Josh Allen,19.0,17.64,Peyton Barber,3.2,5.23,Frank Gore,6.5,5.8,Jimmy Graham,1.2,6.39,Tyler Boyd,16.6,8.55,Michael Gallup,7.5,9.53,Team(Poop AUTO),74.4,Team(OJ is my  GM),12
Stefon Diggs,0.0,0.0,Larry Fitzgerald,0.0,0.0,Carlos Hyde,6.7,11.22,Hunter Henry,0.0,0.0,Nick Foles,14.88,15.4,Steelers D/ST,13.0,8.57,David Montgomery,4.1,12.05,Matt Gay,5.0,9.2,Matt Ryan,7.64,21.26,Joe Mixon,7.9,12.31,Alvin Kamara,14.7,18.33,Noah Fant,2.9,7.23,Davante Adams,15.8,13.61,Emmanuel Sanders,2.0,9.79,Team(Post Mahomes),73.04,Team(99 Problems But AB Ain’t One),12
Alshon Jeffery,0.0,0.0,Austin Ekeler,0.0,0.0,Matt Breida,0.0,0.0,Mason Crosby,0.0,5.85,Kirk Cousins,0.0,0.0,Ravens D/ST,12.0,5.01,Deebo Samuel,12.0,8.8,Younghoe Koo,11.0,8.37,Sam Darnold,28.2,14.62,Nick Chubb,23.9,18.35,Jonathan Williams,19.6,11.0,Ryan Griffin,8.8,5.67,Julio Jones,9.3,15.78,DeAndre Hopkins,24.4,13.7,Team(99 Problems But AB Ain’t One),149.2,Team(Post Mahomes),12
