BE1,BE1_points,BE1_proj_points,BE2,BE2_points,BE2_proj_points,BE3,BE3_points,BE3_proj_points,BE4,BE4_points,BE4_proj_points,BE5,BE5_points,BE5_proj_points,D/ST,D/ST_points,D/ST_proj_points,FLEX,FLEX_points,FLEX_proj_points,K,K_points,K_proj_points,QB,QB_points,QB_proj_points,RB1,RB1_points,RB1_proj_points,RB2,RB2_points,RB2_proj_points,TE,TE_points,TE_proj_points,WR1,WR1_points,WR1_proj_points,WR2,WR2_points,WR2_proj_points,opp,points,team,wk
James Conner,0.0,0.0,Brandin Cooks,0.0,0.0,A.J. Green,0.0,0.0,Adrian Peterson,0.0,0.0,Chris Thompson,0.0,0.0,Bears D/ST,6.0,8.97,Jimmy Graham,6.9,7.1,Justin Tucker,7.0,8.73,Josh Allen,25.44,18.22,Peyton Barber,11.2,5.87,Frank Gore,2.1,5.62,Travis Kelce,17.0,14.22,Tyler Boyd,9.2,10.67,Michael Gallup,15.6,9.9,Team(Juicy Smooyay),100.44,Team(OJ is my  GM),10
Curtis Samuel,11.5,10.34,Tom Brady,0.0,0.0,49ers D/ST,19.0,5.15,Mark Walton,0.0,0.0,Josh Gordon,3.7,5.73,Colts D/ST,10.0,9.98,David Johnson,-0.5,14.17,Jason Myers,11.0,6.4,Jimmy Garoppolo,10.02,15.7,Derrick Henry,32.1,14.66,Le'Veon Bell,14.8,15.51,Darren Waller,5.5,11.38,Tyreek Hill,27.5,15.86,Amari Cooper,26.2,12.78,Team(OJ is my  GM),136.62,Team(Juicy Smooyay),10
Alshon Jeffery,0.0,0.0,Jared Goff,3.72,15.53,DeAndre Hopkins,0.0,0.0,Chase Edmonds,0.0,0.0,J.D. McKissic,8.5,5.55,Ravens D/ST,23.0,8.44,Nick Chubb,13.1,16.22,Mason Crosby,7.0,7.8,Kirk Cousins,19.3,15.89,Austin Ekeler,11.8,11.66,Matt Breida,3.5,10.14,Jack Doyle,11.9,7.2,Julio Jones,9.4,15.88,Alex Erickson,1.3,8.24,Team(253 💁🏻‍♂️),100.3,Team(Post Mahomes),10
JuJu Smith-Schuster,5.9,9.38,Adam Thielen,0.0,0.0,Carson Wentz,0.0,0.0,Marvin Jones Jr.,10.2,9.21,Chris Herndon,1.2,6.09,Browns D/ST,2.0,7.04,Damien Williams,11.4,12.36,Harrison Butker,15.0,8.85,Lamar Jackson,33.42,23.62,Ezekiel Elliott,7.3,18.15,Tevin Coleman,9.2,15.73,T.J. Hockenson,6.2,6.29,Tyler Lockett,4.4,13.27,John Brown,10.2,10.71,Team(Post Mahomes),99.12,Team(253 💁🏻‍♂️),10
Zach Ertz,0.0,0.0,Jaguars D/ST,0.0,0.0,Terry McLaurin,0.0,0.0,Matthew Stafford,0.0,0.0,Jamaal Williams,6.3,9.74,Jets D/ST,18.0,6.75,Michael Thomas,21.7,19.04,Greg Zuerlein,3.0,9.03,Jameis Winston,18.32,20.12,Todd Gurley II,7.3,13.72,Mark Ingram II,9.4,14.95,Mark Andrews,20.3,10.53,Mike Williams,6.5,10.16,Allen Robinson II,11.6,10.5,Team(DK's Left Calf),116.12,Team(Silent Banggoo),10
Evan Engram,0.0,0.0,DK Metcalf,8.0,9.56,Golden Tate,21.5,10.62,Alexander Mattison,5.9,5.21,Marquise Brown,16.0,8.0,Rams D/ST,20.0,5.23,Melvin Gordon,19.8,13.97,Brett Maher,5.0,8.16,Dak Prescott,25.88,17.69,Dalvin Cook,27.8,18.62,Aaron Jones,27.3,17.21,O.J. Howard,12.7,5.31,Odell Beckham Jr.,8.2,10.67,Christian Kirk,34.8,10.87,Team(Silent Banggoo),181.48,Team(DK's Left Calf),10
Wil Lutz,10.0,8.98,Patriots D/ST,0.0,0.0,Sterling Shepard,0.0,0.0,Daniel Jones,30.32,16.33,Kareem Hunt,10.9,6.57,Cowboys D/ST,-1.0,5.35,Kenyan Drake,7.1,7.29,Michael Badgley,6.0,8.68,Drew Brees,11.48,20.04,Devonta Freeman,6.3,11.8,Josh Jacobs,17.6,16.56,Jason Witten,2.7,7.47,Chris Godwin,10.4,13.53,DJ Moore,16.5,11.4,Team(2 Girls 1 Kupp),77.08,Team(I need Moore points),10
Rashaad Penny,-1.8,3.94,Kyler Murray,26.76,19.0,Josh Lambo,0.0,0.0,Sony Michel,0.0,0.0,Darren Fells,0.0,0.0,Bills D/ST,3.0,6.92,Cooper Kupp,0.0,14.44,Dan Bailey,8.0,7.05,Aaron Rodgers,10.02,21.38,Chris Carson,17.6,13.14,Ronald Jones II,18.6,11.92,Jared Cook,10.4,7.48,Keenan Allen,12.6,13.02,Kenny Golladay,13.2,10.89,Team(I need Moore points),93.42,Team(2 Girls 1 Kupp),10
Patrick Mahomes,29.84,22.35,Phillip Lindsay,0.0,0.0,Miles Sanders,0.0,0.0,Will Fuller V,0.0,0.0,DJ Chark Jr.,0.0,0.0,Saints D/ST,3.0,6.51,DeVante Parker,9.4,9.0,Joey Slye,6.0,8.9,Philip Rivers,10.28,17.83,Devin Singletary,6.5,11.28,Jaylen Samuels,5.5,13.56,Austin Hooper,9.7,11.9,Robert Woods,13.0,10.44,Jarvis Landry,20.2,9.61,Team(Poop AUTO),83.58,Team(Yoon  Pooned),10
Julian Edelman,0.0,0.0,George Kittle,0.0,0.0,T.Y. Hilton,0.0,0.0,Courtland Sutton,0.0,0.0,Jacoby Brissett,0.0,0.0,Panthers D/ST,1.0,4.36,Latavius Murray,2.9,10.1,Matt Prater,9.0,4.98,Derek Carr,13.12,15.62,Christian McCaffrey,23.1,22.73,Marlon Mack,8.7,16.17,Gerald Everett,10.8,7.54,Jamison Crowder,16.6,9.58,Zach Pascal,3.6,8.93,Team(Yoon  Pooned),88.82,Team(Poop AUTO),10
