BE1,BE1_points,BE1_proj_points,BE2,BE2_points,BE2_proj_points,BE3,BE3_points,BE3_proj_points,BE4,BE4_points,BE4_proj_points,BE5,BE5_points,BE5_proj_points,D/ST,D/ST_points,D/ST_proj_points,FLEX,FLEX_points,FLEX_proj_points,K,K_points,K_proj_points,QB,QB_points,QB_proj_points,RB1,RB1_points,RB1_proj_points,RB2,RB2_points,RB2_proj_points,TE,TE_points,TE_proj_points,WR1,WR1_points,WR1_proj_points,WR2,WR2_points,WR2_proj_points,opp,points,team,wk
David Johnson,0.0,8.53,Derrick Henry,0.0,0.0,Josh Gordon,0.0,0.0,Darius Slayton,0.0,0.0,Derrius Guice,13.4,6.33,49ers D/ST,16.0,10.34,Curtis Samuel,4.5,10.76,Dan Bailey,3.0,7.51,Tom Brady,8.54,17.06,Le'Veon Bell,16.2,14.23,Kalen Ballage,10.2,8.7,Darren Waller,10.1,10.39,Tyreek Hill,0.0,16.48,Amari Cooper,5.3,12.9,Team(Post Mahomes),73.84,Team(Juicy Smooyay),11
Alshon Jeffery,0.0,0.0,Matt Breida,0.0,0.0,Jared Goff,5.22,14.1,Mason Crosby,0.0,0.0,Ravens D/ST,16.0,5.74,Cowboys D/ST,3.0,7.74,Dede Westbrook,5.2,8.89,Younghoe Koo,10.0,7.03,Kirk Cousins,22.86,14.17,Austin Ekeler,17.2,11.33,Nick Chubb,9.2,15.47,Jack Doyle,0.0,7.16,Julio Jones,11.7,14.79,DeAndre Hopkins,11.5,16.25,Team(Juicy Smooyay),90.66,Team(Post Mahomes),11
JuJu Smith-Schuster,3.1,9.55,Adam Thielen,0.0,0.0,Tyler Lockett,0.0,0.0,Carson Wentz,12.26,14.04,,,,Redskins D/ST,2.0,9.65,Damien Williams,1.8,12.53,Harrison Butker,7.0,9.37,Lamar Jackson,32.78,23.99,Ezekiel Elliott,18.3,19.62,Tevin Coleman,7.7,14.0,T.J. Hockenson,1.1,5.59,John Brown,30.2,10.99,Marvin Jones Jr.,17.9,8.54,Team(Silent Banggoo),118.78,Team(253 💁🏻‍♂️),11
Zach Ertz,13.9,9.9,Mike Williams,8.6,8.68,Matthew Stafford,0.0,0.0,Jamaal Williams,0.0,0.0,,,,Jets D/ST,11.0,8.28,Michael Thomas,21.4,20.47,Greg Zuerlein,5.0,9.29,Jameis Winston,14.82,17.94,Todd Gurley II,18.8,12.52,Mark Ingram II,22.0,14.08,Mark Andrews,15.5,11.36,Allen Robinson II,3.5,9.97,Terry McLaurin,8.4,9.94,Team(253 💁🏻‍♂️),120.42,Team(Silent Banggoo),11
Aaron Jones,0.0,0.0,Evan Engram,0.0,0.0,DK Metcalf,0.0,0.0,Golden Tate,0.0,0.0,Alexander Mattison,0.5,5.44,Rams D/ST,10.0,8.95,Christian Kirk,7.2,10.0,Brett Maher,9.0,7.51,Dak Prescott,31.56,19.51,Dalvin Cook,14.2,21.13,Melvin Gordon,10.5,14.22,O.J. Howard,0.0,5.89,Odell Beckham Jr.,8.0,10.61,Marquise Brown,3.3,8.72,Team(I need Moore points),93.76,Team(DK's Left Calf),11
Devonta Freeman,0.0,0.0,Kenyan Drake,11.0,9.38,Wil Lutz,11.0,8.13,Sterling Shepard,0.0,0.0,Daniel Jones,0.0,0.0,Patriots D/ST,12.0,6.35,Brian Hill,4.3,11.52,Michael Badgley,9.0,8.65,Drew Brees,21.12,18.8,Josh Jacobs,11.9,17.77,Kareem Hunt,8.8,8.91,Jason Witten,5.8,6.54,Chris Godwin,12.2,14.39,DJ Moore,13.5,11.71,Team(DK's Left Calf),98.62,Team(I need Moore points),11
Chris Carson,0.0,0.0,Rashaad Penny,0.0,0.0,Darren Fells,2.3,6.6,Aaron Rodgers,0.0,0.0,Duke Johnson,5.4,9.46,Bills D/ST,9.0,7.67,Cooper Kupp,6.8,12.38,Josh Lambo,0.0,7.15,Kyler Murray,26.7,15.02,Sony Michel,5.4,10.19,Ronald Jones II,2.4,10.66,Jared Cook,10.3,8.58,Keenan Allen,17.1,11.46,Kenny Golladay,3.9,10.4,Team(Yoon  Pooned),81.6,Team(2 Girls 1 Kupp),11
Miles Sanders,5.7,12.79,Will Fuller V,0.0,0.0,Jaylen Samuels,13.0,7.41,DeVante Parker,17.0,8.64,Tyler Eifert,3.6,6.25,Saints D/ST,17.0,8.39,Robert Woods,0.0,0.0,Joey Slye,3.0,8.74,Patrick Mahomes,15.18,21.61,Phillip Lindsay,8.5,12.06,Devin Singletary,8.4,11.96,Austin Hooper,0.0,0.0,DJ Chark Jr.,26.4,11.6,Jarvis Landry,12.3,10.1,Team(2 Girls 1 Kupp),90.78,Team(Yoon  Pooned),11
George Kittle,0.0,0.0,T.Y. Hilton,0.0,0.0,Jacoby Brissett,15.12,17.21,Latavius Murray,4.2,7.63,Eric Ebron,4.7,6.66,Raiders D/ST,14.0,6.6,Jamison Crowder,16.1,9.66,Matt Prater,3.0,6.05,Derek Carr,19.78,16.5,Christian McCaffrey,24.6,24.67,Marlon Mack,16.9,13.15,Gerald Everett,2.5,7.81,Julian Edelman,12.4,13.74,Courtland Sutton,16.32,11.19,Team(Carroll’s  A Coward),125.6,Team(Poop AUTO),11
Saquon Barkley,0.0,0.0,Russell Wilson,0.0,0.0,Jordan Howard,0.0,0.0,Tyrell Williams,10.2,9.46,Tarik Cohen,15.9,7.84,Vikings D/ST,3.0,10.08,Calvin Ridley,24.3,10.48,Zane Gonzalez,9.0,5.74,Deshaun Watson,3.96,20.55,Leonard Fournette,9.2,16.21,James White,7.6,10.67,Greg Olsen,8.2,8.04,Mike Evans,8.9,13.99,Mohamed Sanu Sr.,2.2,10.23,Team(Poop AUTO),76.36,Team(Carroll’s  A Coward),11
