BE1,BE1_points,BE1_proj_points,BE2,BE2_points,BE2_proj_points,BE3,BE3_points,BE3_proj_points,BE4,BE4_points,BE4_proj_points,BE5,BE5_points,BE5_proj_points,D/ST,D/ST_points,D/ST_proj_points,FLEX,FLEX_points,FLEX_proj_points,K,K_points,K_proj_points,QB,QB_points,QB_proj_points,RB1,RB1_points,RB1_proj_points,RB2,RB2_points,RB2_proj_points,TE,TE_points,TE_proj_points,WR1,WR1_points,WR1_proj_points,WR2,WR2_points,WR2_proj_points,opp,points,team,wk
Deshaun Watson,9.06,22.08,Jordan Howard,0.0,0.0,Greg Olsen,4.3,7.48,Tyrell Williams,10.2,7.77,Greg Ward Jr.,9.6,9.44,Broncos D/ST,8.0,8.84,James White,4.9,11.07,Austin Seibert,4.0,8.31,Russell Wilson,10.96,21.95,Saquon Barkley,41.9,17.19,Leonard Fournette,12.0,15.97,O.J. Howard,6.1,8.86,A.J. Brown,14.8,11.09,Breshad Perriman,13.7,11.71,Team(Silent Banggoo),116.36,Team(Carroll’s  A Coward),16
Allen Robinson II,8.3,11.88,Jamaal Williams,6.2,7.54,Randall Cobb,9.8,7.67,Chiefs D/ST,9.0,7.3,Jimmy Garoppolo,10.42,16.71,Jets D/ST,13.0,8.68,Zach Ertz,4.8,12.16,Dan Bailey,4.0,8.59,Jameis Winston,11.0,19.5,Todd Gurley II,16.8,13.07,Mark Ingram II,16.1,15.14,Mark Andrews,24.3,10.67,Michael Thomas,25.6,20.88,Terry McLaurin,12.1,10.76,Team(Carroll’s  A Coward),127.7,Team(Silent Banggoo),16
T.Y. Hilton,4.1,10.79,Dallas Goedert,19.6,7.77,Baker Mayfield,14.08,13.68,Robby Anderson,10.2,8.87,James Washington,6.6,8.13,Seahawks D/ST,1.0,7.12,Anthony Miller,0.7,9.05,Matt Prater,5.0,4.13,Ryan Tannehill,23.68,17.73,Christian McCaffrey,24.8,23.23,Marlon Mack,17.1,14.8,George Kittle,16.4,13.68,Julian Edelman,11.7,11.16,Courtland Sutton,6.6,12.87,Team(Post Mahomes),106.98,Team(Poop AUTO),16
Matt Breida,0.0,5.1,Ravens D/ST,6.0,6.82,Russell Gage,8.1,7.92,Zach Pascal,1.1,6.98,Mike Boone,3.8,14.71,Falcons D/ST,10.0,6.34,DeAndre Washington,17.6,11.91,Younghoe Koo,5.0,9.05,Kirk Cousins,6.88,16.55,Austin Ekeler,9.4,13.86,Nick Chubb,4.5,13.7,Tyler Higbee,14.9,7.91,Julio Jones,21.6,14.38,DeAndre Hopkins,4.8,15.6,Team(Poop AUTO),94.68,Team(Post Mahomes),16
Chris Godwin,0.0,0.0,Josh Jacobs,0.0,0.0,Michael Badgley,5.0,8.12,Deebo Samuel,13.9,9.3,Ryan Fitzpatrick,31.66,17.3,Patriots D/ST,7.0,7.81,Kenyan Drake,31.9,12.89,Wil Lutz,9.0,8.8,Drew Brees,22.86,19.97,Devonta Freeman,29.2,15.48,Kareem Hunt,6.1,10.39,Jason Witten,2.4,7.49,DJ Moore,0.6,12.57,Sterling Shepard,16.6,10.24,Team(DK's Left Calf),125.66,Team(I need Moore points),16
Dalvin Cook,0.0,0.0,Evan Engram,0.0,0.0,Christian Kirk,0.9,10.86,Golden Tate,12.6,8.22,Marquise Brown,1.1,8.72,Eagles D/ST,7.0,2.89,Royce Freeman,10.7,8.38,Zane Gonzalez,9.0,7.09,Dak Prescott,11.3,19.93,Aaron Jones,27.0,13.78,Melvin Gordon,19.7,12.98,Jack Doyle,2.7,6.64,Odell Beckham Jr.,12.4,10.17,DK Metcalf,0.0,10.81,Team(I need Moore points),99.8,Team(DK's Left Calf),16
Le'Veon Bell,11.3,12.9,Josh Gordon,0.0,0.0,Darius Slayton,0.0,10.34,Derrius Guice,0.0,0.0,Daniel Jones,35.28,16.89,49ers D/ST,6.0,7.67,Curtis Samuel,3.1,9.65,Ka'imi Fairbairn,11.0,6.65,Tom Brady,17.24,15.68,David Johnson,1.2,4.5,Derrick Henry,0.0,0.0,Darren Waller,5.7,11.34,Tyreek Hill,9.7,14.81,Amari Cooper,4.4,13.16,Team(253 💁🏻‍♂️),58.34,Team(Juicy Smooyay),16
JuJu Smith-Schuster,3.2,8.89,Damien Williams,16.7,8.13,Tevin Coleman,3.3,6.4,Carson Wentz,18.96,17.56,Mike Williams,6.6,9.64,Buccaneers D/ST,12.0,6.61,Tyler Lockett,1.7,12.95,Harrison Butker,10.0,9.82,Lamar Jackson,29.82,25.82,Ezekiel Elliott,11.9,18.27,Tarik Cohen,4.8,10.62,Jacob Hollister,8.9,8.49,Adam Thielen,0.2,12.27,John Brown,12.1,9.42,Team(Juicy Smooyay),91.42,Team(253 💁🏻‍♂️),16
Emmanuel Sanders,7.6,10.12,Larry Fitzgerald,12.8,8.61,Carlos Hyde,10.2,9.48,Mike Gesicki,23.2,7.38,Gardner Minshew II,14.84,16.28,Steelers D/ST,7.0,8.65,David Montgomery,6.4,10.66,Matt Gay,10.0,7.61,Matt Ryan,15.96,19.82,Joe Mixon,8.3,15.6,Alvin Kamara,26.0,14.84,Hunter Henry,7.0,9.27,Davante Adams,16.1,14.41,Stefon Diggs,13.2,10.99,Team(2 Girls 1 Kupp),109.96,Team(99 Problems But AB Ain’t One),16
Sony Michel,10.6,8.64,Aaron Rodgers,8.34,17.61,Duke Johnson,0.1,8.3,Bo Scarbrough,3.4,4.99,Panthers D/ST,0.0,6.3,Bills D/ST,-1.0,6.13,Keenan Allen,9.1,11.22,Josh Lambo,7.0,7.35,Kyler Murray,12.72,18.05,Chris Carson,6.5,18.46,Ronald Jones II,18.4,9.86,Jared Cook,21.9,10.12,Kenny Golladay,15.6,11.04,Cooper Kupp,11.1,9.49,Team(99 Problems But AB Ain’t One),101.32,Team(2 Girls 1 Kupp),16
