BE1,BE1_points,BE1_proj_points,BE2,BE2_points,BE2_proj_points,BE3,BE3_points,BE3_proj_points,BE4,BE4_points,BE4_proj_points,BE5,BE5_points,BE5_proj_points,D/ST,D/ST_points,D/ST_proj_points,FLEX,FLEX_points,FLEX_proj_points,K,K_points,K_proj_points,QB,QB_points,QB_proj_points,RB1,RB1_points,RB1_proj_points,RB2,RB2_points,RB2_proj_points,TE,TE_points,TE_proj_points,WR1,WR1_points,WR1_proj_points,WR2,WR2_points,WR2_proj_points,opp,points,team,wk
Russell Wilson,41.34,17.98,Jamison Crowder,3.5,9.13,Jordan Howard,9.7,6.7,Tyrell Williams,10.4,10.61,Rob Gronkowski,0.0,0.0,Vikings D/ST,7.0,6.72,James White,0.0,0.0,Stephen Gostkowski,6.0,9.11,Deshaun Watson,25.84,19.0,Saquon Barkley,5.7,18.31,Leonard Fournette,12.2,14.83,Greg Olsen,22.5,8.11,Mike Evans,41.0,11.36,Calvin Ridley,1.1,10.1,Team(Silent Banggoo),121.34,Team(Carroll’s  A Coward),3
Mike Williams,6.0,10.13,Baker Mayfield,9.7,15.97,Paul Richardson Jr.,18.3,6.33,Terry McLaurin,16.0,9.62,Raheem Mostert,5.9,8.23,Jaguars D/ST,14.0,6.68,Mark Andrews,3.0,10.53,Greg Zuerlein,9.0,9.38,Jameis Winston,25.5,17.2,Todd Gurley II,4.3,13.61,Mark Ingram II,33.5,10.29,Zach Ertz,8.4,11.5,Michael Thomas,13.9,13.87,Allen Robinson II,9.0,10.52,Team(Carroll’s  A Coward),120.6,Team(Silent Banggoo),3
Tarik Cohen,3.4,9.11,T.J. Hockenson,0.6,7.33,Mecole Hardman,17.4,8.74,DJ Chark Jr.,15.6,8.18,Robby Anderson,2.6,8.24,Rams D/ST,10.0,6.83,Miles Sanders,11.6,9.78,Joey Slye,8.0,6.38,Patrick Mahomes,27.86,22.65,Alvin Kamara,32.6,17.03,Phillip Lindsay,27.0,11.28,O.J. Howard,8.1,6.53,Robert Woods,7.3,10.47,Will Fuller V,7.6,8.43,Team(OJ is my  GM),140.06,Team(Yoon  Pooned),3
A.J. Green,0.0,0.0,Peyton Barber,6.5,10.49,Frank Gore,15.9,11.42,DeSean Jackson,0.0,0.0,Jimmy Graham,0.0,6.36,Bears D/ST,20.0,7.09,Sony Michel,7.1,14.64,Justin Tucker,4.0,8.41,Josh Allen,18.32,19.41,James Conner,5.7,13.07,Nick Chubb,15.1,16.25,Jason Witten,6.9,6.39,Brandin Cooks,16.0,10.69,Tyler Boyd,9.8,10.65,Team(Yoon  Pooned),102.92,Team(OJ is my  GM),3
Kenyan Drake,6.7,8.95,Drew Brees,0.0,0.0,Justin Jackson,5.0,7.67,Adrian Peterson,3.9,8.16,Jaylen Samuels,0.0,4.29,Patriots D/ST,14.0,10.52,DJ Moore,12.9,10.43,Wil Lutz,3.0,6.36,Jimmy Garoppolo,9.38,15.6,Kerryon Johnson,10.8,11.68,Devonta Freeman,11.0,12.18,Vance McDonald,1.5,7.8,DeAndre Hopkins,9.7,14.05,Chris Godwin,5.5,11.29,Team(Post Mahomes),77.78,Team(I need Moore points),3
Alshon Jeffery,0.0,0.0,Sterling Shepard,23.6,9.15,LeSean McCoy,21.5,10.56,Philip Rivers,19.62,16.81,Demarcus Robinson,11.8,9.47,Titans D/ST,2.0,7.67,Matt Breida,9.8,9.43,Ka'imi Fairbairn,2.0,7.66,Jared Goff,14.12,16.77,Josh Jacobs,4.4,11.92,Austin Ekeler,11.6,16.46,Travis Kelce,12.4,15.32,Julio Jones,22.8,14.43,Nelson Agholor,19.0,9.64,Team(I need Moore points),98.12,Team(Post Mahomes),3
Dede Westbrook,7.5,7.72,Jared Cook,1.2,7.32,Rashaad Penny,0.0,0.0,Michael Gallup,0.0,0.0,Marquise Brown,5.9,10.76,Bills D/ST,11.0,7.98,Cooper Kupp,27.6,11.39,Brett Maher,6.0,8.39,Kyler Murray,17.82,16.75,Le'Veon Bell,8.3,15.69,Chris Carson,3.5,14.67,Will Dissly,15.2,5.9,Keenan Allen,37.1,14.11,Kenny Golladay,2.7,12.13,Team(Juicy Smooyay),129.22,Team(2 Girls 1 Kupp),3
Tyreek Hill,0.0,0.0,Aaron Rodgers,13.3,17.87,David Njoku,0.0,0.0,Royce Freeman,9.3,9.2,Justice Hill,0.1,3.44,Cowboys D/ST,11.0,8.33,Curtis Samuel,13.8,9.11,Jake Elliott,6.0,8.0,Tom Brady,20.14,17.73,David Johnson,15.5,16.69,Derrick Henry,11.1,13.32,Darren Waller,20.6,8.33,Amari Cooper,23.8,11.74,Sammy Watkins,8.9,12.66,Team(2 Girls 1 Kupp),130.84,Team(Juicy Smooyay),3
Melvin Gordon,0.0,0.0,Christian Kirk,10.9,10.46,Ronald Jones II,12.6,7.96,Chris Thompson,12.8,9.27,Matthew Stafford,12.14,15.52,Buccaneers D/ST,7.0,6.14,DK Metcalf,7.7,8.32,Matt Bryant,6.0,7.61,Dak Prescott,22.54,21.84,Dalvin Cook,22.3,17.32,Aaron Jones,14.8,15.76,Evan Engram,20.3,9.64,Odell Beckham Jr.,8.6,15.34,Josh Gordon,11.4,10.2,Team(Poop AUTO),120.64,Team(DK's Left Calf),3
Jarvis Landry,7.7,9.49,Courtland Sutton,11.2,9.03,Jack Doyle,6.6,4.88,Daniel Jones,34.24,15.25,Jamaal Williams,9.6,7.89,49ers D/ST,8.0,7.43,Devin Smith,4.9,7.04,Robbie Gould,6.0,8.61,Jacoby Brissett,20.8,15.84,Christian McCaffrey,26.3,20.53,Marlon Mack,15.8,13.24,George Kittle,8.7,11.61,Julian Edelman,15.7,11.78,T.Y. Hilton,16.5,11.15,Team(DK's Left Calf),122.7,Team(Poop AUTO),3
Damien Williams,0.0,0.0,Tevin Coleman,0.0,0.0,Carson Wentz,21.66,17.07,John Brown,7.5,9.18,Marvin Jones Jr.,19.1,9.69,Packers D/ST,13.0,8.52,Tyler Lockett,26.9,10.96,Harrison Butker,10.0,8.76,Lamar Jackson,21.28,21.06,Ezekiel Elliott,14.9,21.69,Darwin Thompson,0.8,7.23,Delanie Walker,9.9,7.76,JuJu Smith-Schuster,15.6,12.18,Adam Thielen,19.1,11.89,Team(99 Problems But AB Ain’t One),131.48,Team(253 💁🏻‍♂️),3
Stefon Diggs,3.0,10.37,Duke Johnson,3.4,8.78,Devin Singletary,0.0,0.0,John Ross III,1.2,9.7,Carlos Hyde,7.9,7.84,Chargers D/ST,3.0,6.82,Larry Fitzgerald,12.1,10.83,Zane Gonzalez,9.0,8.65,Matt Ryan,22.46,17.88,Joe Mixon,16.4,11.45,David Montgomery,9.6,11.54,Austin Hooper,21.6,7.48,Davante Adams,7.6,13.39,Emmanuel Sanders,2.0,10.42,Team(253 💁🏻‍♂️),103.76,Team(99 Problems But AB Ain’t One),3
