BE1,BE1_points,BE1_proj_points,BE2,BE2_points,BE2_proj_points,BE3,BE3_points,BE3_proj_points,BE4,BE4_points,BE4_proj_points,BE5,BE5_points,BE5_proj_points,D/ST,D/ST_points,D/ST_proj_points,FLEX,FLEX_points,FLEX_proj_points,K,K_points,K_proj_points,QB,QB_points,QB_proj_points,RB1,RB1_points,RB1_proj_points,RB2,RB2_points,RB2_proj_points,TE,TE_points,TE_proj_points,WR1,WR1_points,WR1_proj_points,WR2,WR2_points,WR2_proj_points,opp,points,team,wk
Todd Gurley II,0.0,0.0,Allen Robinson II,0.0,0.0,Mark Andrews,10.9,11.95,Rex Burkhead,0.0,0.0,Matthew Stafford,11.5,16.28,Jaguars D/ST,6.0,5.1,Mike Williams,9.7,8.8,Greg Zuerlein,1.0,10.93,Jameis Winston,12.1,17.87,Mark Ingram II,14.4,15.26,Jamaal Williams,21.6,8.66,Zach Ertz,5.4,11.03,Michael Thomas,12.9,15.69,Terry McLaurin,24.0,11.27,Team(Juicy Smooyay),107.1,Team(Silent Banggoo),6
Aaron Rodgers,18.32,17.99,Sammy Watkins,0.0,0.0,Royce Freeman,10.1,10.5,Darren Waller,0.0,0.0,Dede Westbrook,6.8,9.46,49ers D/ST,12.0,6.03,Curtis Samuel,21.8,10.36,Jake Elliott,9.0,7.09,Tom Brady,21.96,19.18,David Johnson,25.2,16.01,Derrick Henry,3.8,14.13,T.J. Hockenson,4.1,6.02,Tyreek Hill,22.5,11.7,Amari Cooper,0.8,13.05,Team(Silent Banggoo),121.16,Team(Juicy Smooyay),6
Drew Brees,0.0,0.0,DeSean Jackson,0.0,0.0,Josh Jacobs,0.0,0.0,Sterling Shepard,0.0,0.0,Duke Johnson,12.4,7.14,Patriots D/ST,28.0,10.73,Kenyan Drake,10.0,11.47,Wil Lutz,8.0,7.28,Marcus Mariota,-1.08,14.75,Kerryon Johnson,13.1,12.71,Devonta Freeman,25.3,13.5,Jason Witten,8.2,5.79,Chris Godwin,20.1,13.23,DJ Moore,12.1,11.43,Team(253 💁🏻‍♂️),123.72,Team(I need Moore points),6
JuJu Smith-Schuster,1.2,10.11,Carson Wentz,20.54,16.03,John Brown,0.0,0.0,Marvin Jones Jr.,2.7,10.07,Darrel Williams,5.7,0.93,Titans D/ST,6.0,6.7,Tevin Coleman,13.1,11.37,Harrison Butker,6.0,8.72,Lamar Jackson,30.64,23.47,Ezekiel Elliott,23.8,16.99,Damien Williams,8.5,14.52,Delanie Walker,5.8,6.86,Adam Thielen,14.7,11.34,Tyler Lockett,10.3,12.4,Team(I need Moore points),118.84,Team(253 💁🏻‍♂️),6
O.J. Howard,4.5,4.89,Tarik Cohen,0.0,0.0,Rams D/ST,6.0,5.51,Marquez Valdes-Scantling,6.7,9.08,Devin Singletary,0.0,0.0,Broncos D/ST,20.0,6.32,Will Fuller V,6.9,12.5,Joey Slye,13.0,8.11,Patrick Mahomes,18.82,22.87,Phillip Lindsay,14.5,13.93,Miles Sanders,16.7,10.56,Austin Hooper,21.7,11.88,Robert Woods,7.6,11.39,DJ Chark Jr.,5.8,11.36,Team(DK's Left Calf),125.02,Team(Yoon  Pooned),6
Evan Engram,0.0,0.0,Christian Kirk,0.0,0.0,DK Metcalf,9.3,7.72,Ronald Jones II,7.0,8.8,Golden Tate,19.2,10.07,Cowboys D/ST,3.0,7.41,Aaron Jones,6.0,15.76,Ka'imi Fairbairn,5.0,6.81,Dak Prescott,18.22,18.41,Dalvin Cook,12.4,19.7,Melvin Gordon,6.3,14.75,Tyler Eifert,2.3,5.71,Odell Beckham Jr.,13.1,12.63,Josh Gordon,1.2,10.83,Team(Yoon  Pooned),67.52,Team(DK's Left Calf),6
Saquon Barkley,0.0,0.0,Russell Wilson,28.9,20.36,Jamison Crowder,12.8,7.85,Tyrell Williams,0.0,0.0,Phillip Dorsett II,0.0,0.0,Vikings D/ST,5.0,5.69,Jordan Howard,4.9,10.58,Robbie Gould,7.0,8.15,Deshaun Watson,29.4,21.47,Leonard Fournette,14.8,16.54,James White,9.0,13.66,Greg Olsen,7.2,8.26,Mike Evans,16.1,11.96,Calvin Ridley,12.8,10.35,Team(2 Girls 1 Kupp),106.2,Team(Carroll’s  A Coward),6
Rashaad Penny,0.0,0.0,Bills D/ST,0.0,0.0,Marquise Brown,0.0,0.0,Chris Thompson,3.0,11.5,Sony Michel,12.3,14.68,Ravens D/ST,7.0,8.08,Kenny Golladay,14.6,12.96,Josh Lambo,6.0,8.39,Kyler Murray,28.8,19.73,Le'Veon Bell,11.8,17.4,Chris Carson,23.9,15.61,Will Dissly,0.0,9.01,Keenan Allen,4.3,13.22,Cooper Kupp,3.7,14.51,Team(Carroll’s  A Coward),100.1,Team(2 Girls 1 Kupp),6
A.J. Green,0.0,0.0,Bears D/ST,0.0,0.0,Peyton Barber,2.8,7.97,Frank Gore,0.0,0.0,Josh Allen,0.0,0.0,Redskins D/ST,12.0,9.14,Michael Gallup,6.8,10.59,Justin Tucker,13.0,7.83,Jimmy Garoppolo,12.12,15.12,James Conner,27.4,13.24,Nick Chubb,26.4,18.47,Jimmy Graham,2.7,6.93,Brandin Cooks,4.7,10.46,Tyler Boyd,2.5,12.45,Team(Poop AUTO),107.62,Team(OJ is my  GM),6
Marlon Mack,0.0,0.0,T.Y. Hilton,0.0,0.0,Jacoby Brissett,0.0,0.0,Gerald Everett,1.9,6.4,Auden Tate,11.6,8.52,Panthers D/ST,18.0,6.56,Courtland Sutton,9.6,10.79,Matt Gay,6.0,8.17,Teddy Bridgewater,13.6,16.17,Christian McCaffrey,19.7,23.46,Adrian Peterson,14.6,10.33,George Kittle,14.3,13.22,Julian Edelman,15.8,12.42,Jarvis Landry,5.1,11.39,Team(OJ is my  GM),116.7,Team(Poop AUTO),6
