team,points,QB,WR1,WR1_points,WR1_proj_points,WR2,WR2_points,WR2_proj_points,RB1,RB1_points,RB1_proj_points,RB2,RB2_points,RB2_proj_points,TE,TE_points,TE_proj_points,FLEX,FLEX_points,FLEX_proj_points,D/ST,D/ST_points,D/ST_proj_points,K,K_points,K_proj_points,BE1,BE1_points,BE1_proj_points,BE2,BE2_points,BE2_proj_points,BE3,BE3_points,BE3_proj_points,BE4,BE4_points,BE4_proj_points,BE5,BE5_points,BE5_proj_points,wk,opp,QB_points,QB_proj_points
Team(Kingdom DooDoo),80.5,Patrick Mahomes,Mike Evans,1.5,12.01,T.Y. Hilton,1.6,8.69,David Johnson,13.4,13.18,Myles Gaskin,14.6,14.91,Rob Gronkowski,16.3,7.51,,,,Bills D/ST,-2.0,3.23,Stephen Gostkowski,2.0,8.99,Darren Waller,0.0,0.0,Leonard Fournette,0.0,0.0,Derek Carr,0.0,0.0,Wil Lutz,0.0,0.0,James Washington,14.8,9.11,6,Team(Catch 22),20.6,23.84
Team(Catch 22),117.82,Kyler Murray,Chris Godwin,7.3,12.87,Jamison Crowder,8.3,11.38,Raheem Mostert,8.6,13.68,Darrell Henderson Jr.,9.2,10.23,Travis Kelce,19.0,14.41,Russell Gage,8.5,6.8,Patriots D/ST,8.0,6.31,Younghoe Koo,20.0,8.55,Christian McCaffrey,0.0,0.0,DK Metcalf,0.0,0.0,Cam Newton,17.98,18.71,Henry Ruggs III,0.0,0.0,,,,6,Team(Kingdom DooDoo),28.92,23.24
Team(I need Moore points),73.74,Ryan Fitzpatrick,Tyreek Hill,4.0,13.96,Cooper Kupp,2.6,11.89,Todd Gurley II,8.2,13.55,Adrian Peterson,12.3,10.14,Mark Andrews,3.1,12.46,Travis Fulgham,16.5,9.6,49ers D/ST,5.0,4.41,Jason Sanders,6.0,9.5,Josh Jacobs,0.0,0.0,Jarvis Landry,5.5,10.12,John Brown,0.0,10.46,Drew Brees,0.0,0.0,Justin Jackson,0.0,0.0,6,Team(EBDB BnB),16.04,19.14
Team(EBDB BnB),96.06,Ryan Tannehill,DeAndre Hopkins,8.3,16.06,Adam Thielen,12.6,14.94,Ezekiel Elliott,8.0,19.92,Kareem Hunt,6.7,17.17,Jimmy Graham,5.9,7.15,Robert Woods,12.0,11.56,Washington D/ST,6.0,7.03,Harrison Butker,8.0,9.01,Noah Fant,0.0,0.0,Jerry Jeudy,4.2,9.19,Chase Edmonds,3.4,9.19,Joshua Kelley,0.0,0.0,Deebo Samuel,15.0,9.61,6,Team(I need Moore points),28.56,17.58
Team(Yoon  Pooned),141.42,Jared Goff,Will Fuller V,21.3,12.65,Robby Anderson,9.7,11.96,Derrick Henry,39.4,18.99,Devin Singletary,5.0,10.7,George Kittle,20.4,11.99,Marquise Brown,7.7,11.93,Giants D/ST,13.0,6.89,Joey Slye,10.0,8.57,Chris Carson,0.0,0.0,Keenan Allen,0.0,0.0,Diontae Johnson,0.0,0.0,Jonnu Smith,1.8,9.45,Tyler Boyd,10.4,10.66,6,Team(DK's Left Calf),14.92,15.06
Team(DK's Left Calf),91.92,Matthew Stafford,JuJu Smith-Schuster,1.6,11.97,DJ Chark Jr.,8.0,9.83,Joe Mixon,13.9,14.82,Miles Sanders,11.7,15.96,Logan Thomas,11.7,5.01,David Montgomery,11.7,14.83,Bears D/ST,11.0,6.27,Matt Prater,10.0,8.99,Melvin Gordon III,0.0,0.0,Jared Cook,0.0,0.0,Gardner Minshew II,17.62,19.33,Andy Dalton,11.04,15.87,Tee Higgins,15.7,8.9,6,Team(Yoon  Pooned),12.32,19.8
Team(Carroll’s  A Coward),110.94,Lamar Jackson,Amari Cooper,17.4,10.61,Calvin Ridley,15.9,13.65,Ronald Jones II,25.1,13.19,Mark Ingram II,2.0,8.06,T.J. Hockenson,8.7,7.12,Laviska Shenault Jr.,2.6,9.68,Colts D/ST,3.0,8.26,Rodrigo Blankenship,8.0,8.67,Deshaun Watson,32.0,20.46,Sammy Watkins,0.0,0.0,Frank Gore,9.0,8.73,Nyheim Hines,5.2,7.85,Rex Burkhead,1.4,8.03,6,Team(2 Girls 1 Kupp),28.24,23.13
Team(2 Girls 1 Kupp),121.18,Ben Roethlisberger,Julio Jones,29.7,13.33,Kenny Golladay,12.5,12.85,Antonio Gibson,7.5,13.79,Alexander Mattison,3.5,16.93,Eric Ebron,1.9,8.32,A.J. Brown,20.1,11.59,Steelers D/ST,19.0,5.96,Justin Tucker,16.0,9.07,Dalvin Cook,0.0,0.0,Michael Gallup,3.3,6.86,Hunter Henry,0.0,0.0,Matt Ryan,31.64,18.81,Damien Harris,3.8,8.77,6,Team(Carroll’s  A Coward),10.98,19.75
Team(OJ is my  GM),151.72,Kirk Cousins,Allen Robinson II,7.8,12.89,Justin Jefferson,35.1,9.61,Clyde Edwards-Helaire,18.9,16.2,Kenyan Drake,28.4,13.04,Evan Engram,4.0,7.81,Darius Slayton,10.8,10.86,Broncos D/ST,15.0,5.18,Zane Gonzalez,8.0,7.99,Russell Wilson,0.0,0.0,Christian Kirk,21.6,8.1,DeSean Jackson,0.0,0.0,Jerick McKinnon,3.8,7.85,Austin Hooper,7.7,8.19,6,Team(Poop AUTO),23.72,16.68
Team(Poop AUTO),99.08,Josh Allen,Davante Adams,9.1,17.02,Stefon Diggs,13.6,13.82,Jonathan Taylor,13.5,13.4,Mike Davis,10.5,18.07,Robert Tonyan,4.0,6.81,Brandin Cooks,17.3,10.44,Dolphins D/ST,12.0,6.61,Mason Crosby,4.0,9.06,Alvin Kamara,0.0,0.0,DJ Moore,11.8,9.75,Zach Ertz,5.3,8.27,Latavius Murray,0.0,0.0,Julian Edelman,3.32,10.09,6,Team(OJ is my  GM),15.08,23.62
