team,points,QB,WR1,WR1_points,WR1_proj_points,WR2,WR2_points,WR2_proj_points,RB1,RB1_points,RB1_proj_points,RB2,RB2_points,RB2_proj_points,TE,TE_points,TE_proj_points,FLEX,FLEX_points,FLEX_proj_points,D/ST,D/ST_points,D/ST_proj_points,K,K_points,K_proj_points,BE1,BE1_points,BE1_proj_points,BE2,BE2_points,BE2_proj_points,BE3,BE3_points,BE3_proj_points,BE4,BE4_points,BE4_proj_points,BE5,BE5_points,BE5_proj_points,wk,opp,QB_points,QB_proj_points
Team(Kingdom DooDoo),85.54,Patrick Mahomes,Mike Evans,21.7,12.17,T.Y. Hilton,4.4,8.84,David Johnson,10.2,12.45,Leonard Fournette,0.0,0.0,Darren Waller,11.3,10.14,Myles Gaskin,7.7,11.85,Saints D/ST,6.0,5.45,Elliott Fry,4.0,8.21,Rob Gronkowski,3.4,6.57,Derek Carr,20.44,15.14,Mo Alie-Cox,7.8,5.8,Larry Fitzgerald,1.4,6.59,Allen Lazard,0.0,0.0,4,Team(OJ is my  GM),20.24,21.51
Team(OJ is my  GM),95.6,Russell Wilson,Allen Robinson II,19.6,12.47,Darius Slayton,6.3,10.27,Clyde Edwards-Helaire,10.6,16.64,Kenyan Drake,3.5,14.72,Evan Engram,6.5,8.6,Jerick McKinnon,19.2,12.12,Broncos D/ST,6.0,7.26,Zane Gonzalez,3.0,7.99,Courtland Sutton,0.0,0.0,Antonio Gibson,20.8,9.84,James White,9.4,8.35,Christian Kirk,9.4,8.09,DeSean Jackson,0.0,0.0,4,Team(Kingdom DooDoo),20.9,23.79
Team(Post Mahomes),100.18,Aaron Rodgers,Terry McLaurin,16.8,11.18,Greg Ward,5.8,8.89,Austin Ekeler,1.9,14.95,James Robinson,12.7,13.14,Dalton Schultz,15.2,6.33,Mark Ingram II,10.2,8.92,Ravens D/ST,6.0,8.44,Robbie Gould,2.0,8.41,Michael Thomas,0.0,0.0,James Conner,0.0,0.0,Le'Veon Bell,0.0,0.0,Julian Edelman,5.0,10.69,Phillip Lindsay,0.0,0.0,4,Team(Carroll’s  A Coward),29.58,21.09
Team(Carroll’s  A Coward),104.22,Lamar Jackson,Amari Cooper,27.4,11.48,Calvin Ridley,0.0,14.91,Ronald Jones II,15.8,13.4,Frank Gore,4.1,8.0,T.J. Hockenson,9.9,8.96,Brandin Cooks,0.0,9.59,Colts D/ST,8.0,6.25,Rodrigo Blankenship,14.0,7.64,Deshaun Watson,20.9,21.26,Sammy Watkins,4.3,8.21,Dion Lewis,2.8,4.7,Laviska Shenault Jr.,11.6,8.24,Nyheim Hines,4.7,8.35,4,Team(Post Mahomes),25.02,23.05
Team(I need Moore points),114.28,Joe Burrow,Cooper Kupp,15.2,11.83,Jarvis Landry,12.78,8.66,Josh Jacobs,8.8,17.28,Todd Gurley II,18.8,12.64,Mark Andrews,19.2,11.35,Tyreek Hill,14.4,13.39,49ers D/ST,7.0,7.82,Matt Prater,3.0,8.83,J.K. Dobbins,2.2,5.84,John Brown,6.2,9.29,Drew Brees,15.54,17.25,Russell Gage,3.0,10.11,Rex Burkhead,5.5,7.55,4,Team(Yoon  Pooned),15.1,19.29
Team(Yoon  Pooned),146.9,Jared Goff,Keenan Allen,10.2,12.85,Will Fuller V,19.8,11.54,Chris Carson,23.5,15.23,Devin Singletary,16.2,11.81,George Kittle,32.6,12.94,Robby Anderson,13.9,11.22,Seahawks D/ST,2.0,6.06,Randy Bullock,17.0,8.27,Derrick Henry,0.0,0.0,Marquise Brown,10.6,10.45,Diontae Johnson,0.0,0.0,Ben Roethlisberger,0.0,0.0,Jonnu Smith,0.0,0.0,4,Team(I need Moore points),11.7,16.57
Team(Catch 22),93.62,Kyler Murray,DK Metcalf,12.6,13.48,Hunter Renfrow,8.2,9.48,Darrell Henderson Jr.,4.2,14.48,J.D. McKissic,6.1,7.33,Travis Kelce,8.5,12.1,Jamison Crowder,13.9,9.17,Rams D/ST,12.0,7.71,Wil Lutz,5.0,8.29,Christian McCaffrey,0.0,0.0,Chris Godwin,0.0,0.0,Raheem Mostert,0.0,0.0,Cam Newton,0.0,0.0,Patriots D/ST,3.0,2.95,4,Team(Poop AUTO),23.12,21.91
Team(Poop AUTO),97.02,Josh Allen,Tyler Boyd,12.9,11.51,Stefon Diggs,14.5,13.12,Alvin Kamara,19.4,21.18,Jonathan Taylor,8.4,13.78,Zach Ertz,4.9,9.85,Marquez Valdes-Scantling,6.5,8.84,Cardinals D/ST,-2.0,5.82,Mason Crosby,7.0,8.39,Davante Adams,0.0,0.0,DJ Moore,6.9,11.55,Tyler Higbee,3.5,7.36,Latavius Murray,20.8,8.68,Jeff Wilson Jr.,2.4,9.66,4,Team(Catch 22),25.42,23.61
Team(The Shady Bunch),122.16,Tom Brady,Odell Beckham Jr.,35.9,11.51,Tyler Lockett,4.9,14.93,Nick Chubb,4.3,13.57,Aaron Jones,19.6,18.33,Mike Gesicki,2.0,9.12,DeVante Parker,16.0,11.69,Bills D/ST,5.0,6.01,Greg Zuerlein,2.0,7.9,D'Andre Swift,13.2,6.6,CeeDee Lamb,22.7,8.67,Malcolm Brown,8.2,9.28,Devonta Freeman,8.8,8.12,Hayden Hurst,7.1,8.49,4,Team(2 Girls 1 Kupp),32.46,16.31
Team(2 Girls 1 Kupp),103.8,Matt Ryan,Julio Jones,5.2,14.58,Kenny Golladay,14.2,12.2,Dalvin Cook,27.6,18.79,Mike Davis,19.6,13.51,Hunter Henry,4.9,8.87,Michael Gallup,3.9,8.74,Jets D/ST,8.0,6.78,Justin Tucker,8.0,8.81,A.J. Brown,0.0,0.0,A.J. Green,0.8,10.41,Steelers D/ST,0.0,0.0,Sony Michel,0.0,0.0,Justin Jefferson,12.3,8.69,4,Team(The Shady Bunch),12.4,21.61
