team,points,QB,WR1,WR1_points,WR1_proj_points,WR2,WR2_points,WR2_proj_points,RB1,RB1_points,RB1_proj_points,RB2,RB2_points,RB2_proj_points,TE,TE_points,TE_proj_points,FLEX,FLEX_points,FLEX_proj_points,D/ST,D/ST_points,D/ST_proj_points,K,K_points,K_proj_points,BE1,BE1_points,BE1_proj_points,BE2,BE2_points,BE2_proj_points,BE3,BE3_points,BE3_proj_points,BE4,BE4_points,BE4_proj_points,BE5,BE5_points,BE5_proj_points,wk,opp,QB_points,QB_proj_points
Team(I need Moore points),121.0,Drew Brees,Tyreek Hill,13.1,14.27,Cooper Kupp,6.0,11.45,Josh Jacobs,33.9,16.99,Todd Gurley II,12.7,14.03,Mark Andrews,20.3,11.31,Jarvis Landry,8.6,11.06,49ers D/ST,1.0,7.26,Matt Prater,11.0,8.26,J.K. Dobbins,14.2,7.48,John Brown,16.0,9.31,Emmanuel Sanders,9.0,8.68,Joe Burrow,16.32,14.38,Nyheim Hines,23.3,7.53,1,Team(Kingdom DooDoo),14.4,17.52
Team(Kingdom DooDoo),89.24,Patrick Mahomes,Preston Williams,5.1,8.69,T.Y. Hilton,7.3,12.19,David Johnson,18.4,13.53,Leonard Fournette,2.4,6.04,Darren Waller,7.5,10.89,Rob Gronkowski,2.1,7.9,Saints D/ST,17.0,4.66,Chris Boswell,9.0,7.84,Mike Evans,6.7,10.45,Deebo Samuel,0.0,0.0,Golden Tate,0.0,0.0,Breshad Perriman,3.2,7.06,Mecole Hardman,1.1,6.14,1,Team(I need Moore points),20.44,23.31
Team(Post Mahomes),84.66,Aaron Rodgers,Michael Thomas,3.2,16.38,Terry McLaurin,8.6,10.73,Austin Ekeler,9.2,13.58,James Conner,2.7,14.64,Hayden Hurst,5.3,7.18,Mark Ingram II,2.9,9.97,Ravens D/ST,12.0,7.14,Robbie Gould,10.0,7.92,Le'Veon Bell,5.6,11.65,Julian Edelman,10.5,10.76,Phillip Lindsay,4.0,8.87,Ben Roethlisberger,22.06,18.25,James Robinson,9.5,8.15,1,Team(Yoon  Pooned),30.76,16.17
Team(Yoon  Pooned),94.2,Carson Wentz,Keenan Allen,5.7,11.12,Will Fuller V,15.2,11.2,Derrick Henry,14.6,16.44,Chris Carson,21.6,13.93,George Kittle,7.3,13.18,Devin Singletary,7.8,10.28,Bears D/ST,0.0,5.92,Younghoe Koo,9.0,8.01,Marquise Brown,12.6,9.84,Diontae Johnson,6.7,9.63,Robby Anderson,22.5,8.92,Chris Thompson,1.6,7.47,Jared Goff,10.5,15.43,1,Team(Post Mahomes),13.0,18.08
Team(OJ is my  GM),96.78,Russell Wilson,Allen Robinson II,9.8,12.05,DeSean Jackson,5.6,9.83,Clyde Edwards-Helaire,19.8,13.65,Kenyan Drake,13.5,14.42,Evan Engram,1.9,9.33,Antonio Gibson,5.4,11.0,Broncos D/ST,3.0,7.05,Zane Gonzalez,6.0,7.42,Courtland Sutton,0.0,0.0,James White,6.7,9.2,Christian Kirk,0.5,8.78,Darius Slayton,25.2,7.66,Curtis Samuel,6.8,8.2,1,Team(Carroll’s  A Coward),31.78,19.81
Team(Carroll’s  A Coward),110.9,Lamar Jackson,Amari Cooper,13.1,11.15,Calvin Ridley,29.4,11.24,Saquon Barkley,9.6,17.09,Ronald Jones II,9.2,9.02,T.J. Hockenson,14.1,7.07,Brandin Cooks,3.0,7.36,Colts D/ST,6.0,7.02,Austin Seibert,-1.0,7.59,Deshaun Watson,20.82,21.95,Darrell Henderson Jr.,0.6,4.96,Tony Pollard,4.2,4.34,N'Keal Harry,4.4,7.52,Sammy Watkins,18.0,7.74,1,Team(OJ is my  GM),27.5,22.57
Team(EBDB BnB),150.54,Dak Prescott,DeAndre Hopkins,22.1,12.74,Adam Thielen,28.0,13.09,Ezekiel Elliott,26.2,18.55,Kareem Hunt,10.1,8.5,Noah Fant,16.6,8.0,Robert Woods,14.9,11.72,Eagles D/ST,5.0,8.68,Harrison Butker,10.0,9.03,Tarik Cohen,5.7,8.53,Matt Breida,2.2,7.09,Jerry Jeudy,7.6,8.67,Alexander Mattison,10.0,4.54,Chase Edmonds,12.0,3.2,1,Team(Catch 22),17.64,19.68
Team(Catch 22),142.1,Kyler Murray,Chris Godwin,10.9,13.88,DK Metcalf,17.5,11.06,Christian McCaffrey,26.9,21.45,Raheem Mostert,23.1,10.23,Travis Kelce,14.0,14.14,Kerryon Johnson,1.4,8.96,Patriots D/ST,12.0,7.39,Wil Lutz,10.0,8.82,Jamison Crowder,21.0,9.46,Duke Johnson,1.4,7.52,Cam Newton,25.7,18.07,Austin Hooper,2.5,6.5,Brandon Aiyuk,0.0,7.45,1,Team(EBDB BnB),26.3,18.0
Team(The Shady Bunch),83.26,Tom Brady,Odell Beckham Jr.,3.7,11.56,Tyler Lockett,13.2,12.23,Nick Chubb,5.1,13.76,Aaron Jones,15.6,13.84,Mike Gesicki,4.5,7.16,DeVante Parker,6.7,10.25,Bills D/ST,10.0,8.65,Greg Zuerlein,4.0,7.53,D'Andre Swift,9.8,6.61,Jordan Howard,6.7,7.96,Sterling Shepard,7.7,10.09,CeeDee Lamb,8.4,8.28,Boston Scott,6.4,12.47,1,Team(DK's Left Calf),20.46,18.44
Team(DK's Left Calf),87.28,Matthew Stafford,JuJu Smith-Schuster,21.9,12.1,DJ Chark Jr.,10.0,10.81,Joe Mixon,5.6,14.1,Miles Sanders,0.0,0.0,Jared Cook,10.5,7.9,Melvin Gordon III,14.1,10.92,Chiefs D/ST,5.0,5.54,Jake Elliott,4.0,7.64,David Montgomery,7.9,9.36,Marvin Jones Jr.,7.5,11.39,Zack Moss,10.2,9.09,Daniel Jones,17.36,14.98,Mike Williams,8.9,0.0,1,Team(The Shady Bunch),16.18,15.91
Team(Poop AUTO),128.18,Josh Allen,Davante Adams,34.6,15.0,DJ Moore,7.4,12.25,Alvin Kamara,21.2,16.81,Jonathan Taylor,11.9,9.96,Zach Ertz,9.3,10.19,Stefon Diggs,12.6,11.09,Vikings D/ST,-9.0,6.33,Mason Crosby,12.0,7.17,Tyler Boyd,5.3,9.35,Tyler Higbee,5.5,8.12,Henry Ruggs III,8.1,8.01,Latavius Murray,4.8,6.33,Marlon Mack,7.1,10.32,1,Team(2 Girls 1 Kupp),28.18,19.84
Team(2 Girls 1 Kupp),111.9,Matt Ryan,Julio Jones,20.2,13.53,Michael Gallup,6.5,11.08,Dalvin Cook,21.3,18.81,Cam Akers,4.8,9.11,Hunter Henry,9.8,8.14,A.J. Brown,6.4,11.51,Steelers D/ST,10.0,8.18,Justin Tucker,9.0,8.71,Kenny Golladay,0.0,0.0,A.J. Green,7.6,9.9,Tevin Coleman,2.9,7.87,Ryan Tannehill,19.36,14.83,Sony Michel,9.7,7.53,1,Team(Poop AUTO),23.9,18.32
