team,points,QB,WR1,WR1_points,WR1_proj_points,WR2,WR2_points,WR2_proj_points,RB1,RB1_points,RB1_proj_points,RB2,RB2_points,RB2_proj_points,TE,TE_points,TE_proj_points,FLEX,FLEX_points,FLEX_proj_points,D/ST,D/ST_points,D/ST_proj_points,K,K_points,K_proj_points,BE1,BE1_points,BE1_proj_points,BE2,BE2_points,BE2_proj_points,BE3,BE3_points,BE3_proj_points,BE4,BE4_points,BE4_proj_points,BE5,BE5_points,BE5_proj_points,wk,opp,QB_points,QB_proj_points
Team(Herberl Tea),92.86,Justin Herbert,Terry McLaurin,4.1,12.17,Tre'Quan Smith,1.8,4.99,James Conner,13.8,14.4,James Robinson,7.5,14.58,Dalton Schultz,1.1,7.31,Le'Veon Bell,7.2,11.24,Ravens D/ST,25.0,6.59,Robbie Gould,5.0,8.36,Michael Thomas,0.0,0.0,Austin Ekeler,0.0,0.0,Phillip Lindsay,0.0,0.0,Aaron Rodgers,0.0,0.0,Tim Patrick,0.0,0.0,5,Team(Kingdom DooDoo),27.36,16.72
Team(Kingdom DooDoo),96.5,Patrick Mahomes,Mike Evans,12.6,12.36,Scotty Miller,0.0,8.96,David Johnson,11.3,13.89,Leonard Fournette,0.0,0.83,Darren Waller,13.3,11.7,Myles Gaskin,17.6,11.2,Bills D/ST,-3.0,6.56,Wil Lutz,15.0,8.5,Rob Gronkowski,6.7,7.13,T.Y. Hilton,9.9,8.68,Derek Carr,23.98,16.26,Mo Alie-Cox,0.0,5.22,Larry Fitzgerald,5.5,5.22,5,Team(Herberl Tea),29.7,23.47
Team(OJ is my  GM),81.98,Russell Wilson,Allen Robinson II,14.0,12.35,Justin Jefferson,3.8,10.46,Clyde Edwards-Helaire,9.5,18.27,Jerick McKinnon,1.5,10.85,Evan Engram,9.0,9.16,Kenyan Drake,12.7,13.21,Broncos D/ST,0.0,0.0,Zane Gonzalez,7.0,8.17,Courtland Sutton,0.0,0.0,Christian Kirk,10.3,7.86,Darius Slayton,16.9,10.67,DeSean Jackson,0.0,0.0,Austin Hooper,8.2,6.76,5,Team(I need Moore points),24.48,24.16
Team(I need Moore points),119.22,Joe Burrow,Tyreek Hill,16.8,13.11,Cooper Kupp,9.1,12.0,Josh Jacobs,21.5,15.79,Todd Gurley II,23.0,15.42,Mark Andrews,14.6,11.23,Justin Jackson,11.9,10.02,49ers D/ST,-4.0,7.18,Jason Sanders,22.0,7.62,Jarvis Landry,10.8,8.06,John Brown,0.0,0.0,Drew Brees,21.1,15.27,Rex Burkhead,0.0,0.0,Tee Higgins,8.2,8.54,5,Team(OJ is my  GM),4.32,16.85
Team(Carroll’s  A Coward),91.1,Lamar Jackson,Amari Cooper,3.1,12.33,Calvin Ridley,17.6,13.98,Ronald Jones II,14.0,13.58,Mark Ingram II,5.7,8.57,Eric Ebron,4.8,6.99,Laviska Shenault Jr.,11.4,8.47,Colts D/ST,10.0,6.77,Rodrigo Blankenship,11.0,9.49,Deshaun Watson,24.86,21.59,T.J. Hockenson,0.0,0.0,Sammy Watkins,9.4,9.92,Frank Gore,3.0,4.64,Nyheim Hines,4.0,9.31,5,Team(Yoon  Pooned),13.5,23.36
Team(Yoon  Pooned),100.66,Ben Roethlisberger,Keenan Allen,9.9,12.93,Will Fuller V,13.8,12.5,Derrick Henry,18.8,17.14,Chris Carson,16.9,15.53,George Kittle,6.4,14.31,Robby Anderson,15.5,12.63,Chiefs D/ST,-5.0,5.8,Randy Bullock,3.0,8.63,Devin Singletary,3.8,11.27,Marquise Brown,16.8,11.4,Diontae Johnson,0.3,11.15,Jonnu Smith,18.5,9.83,Jared Goff,24.36,15.75,5,Team(Carroll’s  A Coward),21.36,18.47
Team(The Shady Bunch),89.84,Tom Brady,Odell Beckham Jr.,8.92,11.66,Tyler Lockett,6.4,14.01,Malcolm Brown,2.9,8.74,Devonta Freeman,15.7,9.2,Hayden Hurst,1.8,8.19,DeVante Parker,12.0,11.06,Rams D/ST,14.0,7.2,Greg Zuerlein,14.0,7.83,Nick Chubb,0.0,0.0,Aaron Jones,0.0,0.0,D'Andre Swift,0.0,0.0,Mike Gesicki,11.6,7.1,CeeDee Lamb,16.4,9.42,5,Team(Catch 22),14.12,17.99
Team(Catch 22),148.4,Kyler Murray,DK Metcalf,24.3,13.42,Jamison Crowder,21.6,10.43,Raheem Mostert,13.4,13.35,Darrell Henderson Jr.,20.3,9.66,Travis Kelce,20.8,13.52,Hunter Renfrow,4.7,7.9,Seahawks D/ST,4.0,6.48,Younghoe Koo,13.0,8.76,Christian McCaffrey,0.0,0.0,Chris Godwin,0.0,0.0,Cam Newton,0.0,0.0,Patriots D/ST,0.0,0.0,Russell Gage,2.6,8.21,5,Team(The Shady Bunch),26.3,21.99
Team(Poop AUTO),105.82,Josh Allen,DJ Moore,17.3,11.34,Tyler Boyd,6.2,10.63,Alvin Kamara,15.9,19.32,Jonathan Taylor,14.4,13.39,Zach Ertz,1.1,10.26,Stefon Diggs,15.6,13.37,Cardinals D/ST,8.0,6.81,Daniel Carlson,11.0,7.84,Davante Adams,0.0,0.0,Latavius Murray,6.7,9.06,Robert Tonyan,0.0,0.0,Brandon Aiyuk,5.9,7.36,D'Ernest Johnson,4.1,6.35,5,Team(EBDB BnB),16.32,24.98
Team(EBDB BnB),138.54,Dak Prescott,DeAndre Hopkins,22.1,15.19,Adam Thielen,24.8,14.31,Ezekiel Elliott,23.0,21.62,Kareem Hunt,16.8,14.95,Jimmy Graham,10.8,7.77,Robert Woods,15.1,11.41,Buccaneers D/ST,7.0,6.58,Harrison Butker,6.0,9.42,Noah Fant,0.0,0.0,Jerry Jeudy,0.0,0.0,Chase Edmonds,17.7,8.26,Joshua Kelley,4.3,12.05,Deebo Samuel,3.2,10.1,5,Team(Poop AUTO),12.94,21.16
