team,points,QB,WR1,WR1_points,WR1_proj_points,WR2,WR2_points,WR2_proj_points,RB1,RB1_points,RB1_proj_points,RB2,RB2_points,RB2_proj_points,TE,TE_points,TE_proj_points,FLEX,FLEX_points,FLEX_proj_points,D/ST,D/ST_points,D/ST_proj_points,K,K_points,K_proj_points,BE1,BE1_points,BE1_proj_points,BE2,BE2_points,BE2_proj_points,BE3,BE3_points,BE3_proj_points,BE4,BE4_points,BE4_proj_points,BE5,BE5_points,BE5_proj_points,wk,opp,QB_points,QB_proj_points
Team(Carroll’s  A Coward),107.68,Lamar Jackson,Amari Cooper,13.1,12.45,Calvin Ridley,14.2,14.12,Ronald Jones II,8.3,8.53,Frank Gore,6.7,8.19,T.J. Hockenson,7.3,6.63,Laviska Shenault Jr.,5.9,11.03,Colts D/ST,27.0,8.26,Rodrigo Blankenship,11.0,8.21,Deshaun Watson,17.06,19.3,Brandin Cooks,3.8,8.69,N'Keal Harry,4.6,9.47,Sammy Watkins,9.7,7.97,Dion Lewis,1.5,8.14,3,Team(Kingdom DooDoo),14.18,24.21
Team(Kingdom DooDoo),93.6,Patrick Mahomes,Mike Evans,13.2,12.07,T.Y. Hilton,6.7,10.41,David Johnson,11.6,13.07,Leonard Fournette,3.2,9.89,Darren Waller,1.9,10.43,Myles Gaskin,12.0,9.72,Saints D/ST,-3.0,5.95,Chris Boswell,8.0,7.82,Rob Gronkowski,7.8,4.35,Preston Williams,7.7,8.75,Derek Carr,15.44,14.44,Mo Alie-Cox,12.5,6.03,Larry Fitzgerald,0.5,8.24,3,Team(Carroll’s  A Coward),40.0,19.64
Team(Yoon  Pooned),110.58,Ben Roethlisberger,Keenan Allen,23.7,11.37,Diontae Johnson,0.9,11.58,Derrick Henry,26.0,16.56,Chris Carson,9.1,13.53,Jonnu Smith,8.6,8.24,Devin Singletary,14.1,12.7,Titans D/ST,2.0,6.24,Younghoe Koo,7.0,8.34,George Kittle,0.0,0.0,Will Fuller V,13.4,10.83,Marquise Brown,2.3,11.78,Robby Anderson,8.0,10.25,Jared Goff,27.24,14.98,3,Team(OJ is my  GM),19.18,18.64
Team(OJ is my  GM),114.4,Russell Wilson,Allen Robinson II,23.3,12.42,Darius Slayton,4.8,10.04,Clyde Edwards-Helaire,15.9,12.99,Kenyan Drake,8.4,14.57,Evan Engram,3.7,8.98,Antonio Gibson,11.5,10.49,Broncos D/ST,3.0,5.04,Zane Gonzalez,7.0,8.05,Courtland Sutton,0.0,0.0,James White,0.0,0.0,Christian Kirk,0.0,0.0,DeSean Jackson,2.1,9.58,Jerick McKinnon,15.2,9.32,3,Team(Yoon  Pooned),36.8,21.29
Team(I need Moore points),113.48,Joe Burrow,Tyreek Hill,18.7,12.57,Cooper Kupp,21.2,10.89,Josh Jacobs,7.8,16.36,Todd Gurley II,14.7,12.21,Mark Andrews,3.7,11.67,John Brown,0.0,9.27,49ers D/ST,13.0,8.01,Matt Prater,14.0,7.58,Jarvis Landry,5.6,8.93,J.K. Dobbins,6.4,7.01,Drew Brees,23.52,17.89,Russell Gage,3.6,9.87,Rex Burkhead,31.3,11.06,3,Team(Post Mahomes),20.38,17.04
Team(Post Mahomes),135.52,Aaron Rodgers,Terry McLaurin,10.6,12.04,Julian Edelman,3.2,12.12,Austin Ekeler,25.8,15.13,James Robinson,27.9,13.0,Hayden Hurst,6.6,9.02,James Conner,22.9,15.02,Ravens D/ST,1.0,4.49,Robbie Gould,13.0,7.38,Michael Thomas,0.0,0.0,Le'Veon Bell,0.0,0.0,Mark Ingram II,3.0,8.82,Phillip Lindsay,0.0,0.0,Dalton Schultz,6.8,6.71,3,Team(I need Moore points),24.52,18.03
Team(2 Girls 1 Kupp),122.6,Gardner Minshew II,Michael Gallup,22.8,10.57,A.J. Green,6.1,10.56,Dalvin Cook,24.9,17.52,Mike Davis,19.1,10.95,Hunter Henry,7.5,9.56,Sony Michel,15.0,8.95,Steelers D/ST,9.0,8.34,Justin Tucker,9.0,8.89,Julio Jones,0.0,0.0,Kenny Golladay,14.7,11.01,Cam Akers,0.0,0.0,A.J. Brown,0.0,0.0,Matt Ryan,11.42,17.55,3,Team(Catch 22),9.2,19.9
Team(Catch 22),136.5,Kyler Murray,Chris Godwin,14.9,11.93,DK Metcalf,17.0,12.61,Darrell Henderson Jr.,18.5,10.08,Jeff Wilson Jr.,20.4,8.59,Travis Kelce,11.7,13.29,Keelan Cole Sr.,6.3,9.3,Patriots D/ST,13.0,6.2,Wil Lutz,13.0,8.24,Christian McCaffrey,0.0,0.0,Raheem Mostert,0.0,0.0,Jamison Crowder,0.0,0.0,Cam Newton,11.18,20.84,Corey Davis,9.4,9.13,3,Team(2 Girls 1 Kupp),21.7,22.03
Team(DK's Left Calf),77.1,Matthew Stafford,JuJu Smith-Schuster,14.3,12.34,Marvin Jones Jr.,6.6,10.96,Joe Mixon,7.5,13.88,Miles Sanders,12.7,17.42,Jared Cook,3.1,8.32,David Montgomery,6.4,10.35,Chargers D/ST,4.0,7.01,Jason Myers,4.0,8.12,Melvin Gordon III,5.8,12.78,DJ Chark Jr.,0.0,0.0,Zack Moss,0.0,0.0,Mike Williams,2.2,9.06,Carson Wentz,21.5,17.33,3,Team(Poop AUTO),18.5,17.77
Team(Poop AUTO),134.04,Josh Allen,DJ Moore,7.5,11.29,Stefon Diggs,12.9,11.33,Alvin Kamara,38.2,20.13,Jonathan Taylor,12.7,16.53,Zach Ertz,10.5,9.57,Marquez Valdes-Scantling,1.0,10.26,Cardinals D/ST,4.0,5.23,Mason Crosby,16.0,7.08,Davante Adams,0.0,0.0,Tyler Boyd,17.5,9.71,Tyler Higbee,7.0,7.78,Latavius Murray,7.0,7.48,Ryan Tannehill,12.24,15.63,3,Team(DK's Left Calf),31.24,20.34
